PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
CARACTERIZAÇÃO E DISPOSIÇÃO DE CASCALHO DE PERFURAÇÃO (RCPP),2009,ATUAL,PESQUISA,"['Marcio Osvaldo Lima Magalhães', 'Nelson Moura Brasil do Amaral Sobrinho', 'Everaldo Zonta', 'Fabio Cardoso de Freitas', 'Carla Andreia da cunha Martins']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Plano de monitoramento ambiental da área atingida pelo descontrole do poço 7-CNC-3-ES Campo de Cancã.,2009,2010,PESQUISA,"['Marcio Osvaldo Lima Magalhães', 'Nelson Moura Brasil do Amaral Sobrinho', 'Everaldo Zonta', 'Fabio Cardoso de Freitas', 'Hugo José de Oliveira Zoffoli', 'Eduardo Lima']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
FITORREMEDIAÇÃO DE ÁREAS CONTAMINADAS COM METAIS PESADOS,2007,2010,PESQUISA,"['Marcio Osvaldo Lima Magalhães', 'Nelson Mazur', 'Fabiana de Carvalho Dias', 'Ramiro Valdés Carmenate', 'Maria Irene Balbin Arias', 'Nelson Moura Brasil do Amaral Sobrinho', 'Fabiana Soares dos Santos', 'Yusimí Pérez López']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
"Impactos ambientais provenientes da produção agrícola: contaminação por metais pesados, degradação e emissão de",2011,ATUAL,PESQUISA,"['Marcio Osvaldo Lima Magalhães', 'Nelson Moura Brasil do Amaral Sobrinho', 'Everaldo Zonta', 'Ricardo Luis Louro Berbera', 'Celio Ignacio Chagas']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
"ESTABELECIMENTO DOS VALORES DE REFERÊNCIA, MAPEAMENTO DIGITAL E RECUPERAÇÃO DE SOLOS CONTAMINADOS COM METAIS PESADOS NO ESTADO DO RIO DE JANEIRO",2012,ATUAL,PESQUISA,"['Marcio Osvaldo Lima Magalhães', 'Nelson Mazur', 'Nelson Moura Brasil do Amaral Sobrinho', 'Clarice de Oliveira', 'Lúcia Helena Cunha dos Anjos', 'Margarida Goréte Ferreira do Carmo', 'Michele Duarte de Menezes', 'Adriana França Figueira']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
DIAGNÓSTICO E REMEDIAÇÃO DE SOLOS CONTAMINADOS POR METAIS PESADOS NO ESTADO DO RIO DE JANEIRO,2009,2012,PESQUISA,"['Marcio Osvaldo Lima Magalhães', 'Nelson Mazur', 'Clarice de Oliveira', 'Nelson Moura Brasil do Amaral Sobrinho']","['NAO', 'NAO', 'NAO', 'SIM']"
Desenvolvimento de atividades práticas focadas em entender a importância do solo e seu papel na manutenção da homeostase do meio ambiente,2014,ATUAL,EXTENSAO,"['Marcio Osvaldo Lima Magalhães', 'Roberto Antonio Savelli Martinez', 'Rivanildo Dallacort', 'André Tavares de Vasconcelos', 'Ronicely Pereira da Rocha', 'Eletisandra das Neves', 'Astor Henrique Nied', 'Cleonir Andrade Faria Júnior', 'Tatiane Maria de Amorim', 'Bianca Anjos de Souza', 'Raphael Fonseca Dias']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Fitotecnia online: Canal de Comunicação da UNEMAT com os agricultores de Mato Grosso,2014,2016,EXTENSAO,"['Marcio Osvaldo Lima Magalhães', 'Roberto Antonio Savelli Martinez', 'Miriam Hiroko Inouse', 'Tricia Costa Lima']","['NAO', 'SIM', 'NAO', 'NAO']"
"Solos, Nutrição e Desenvolvimento de Plantas Cultivadas, Forrageiras e Pastagens",2015,ATUAL,PESQUISA,"['Marcio Osvaldo Lima Magalhães', 'Roberto Antonio Savelli Martinez', 'Astor Henrique Nied', 'Adalberto Santi', 'Adley Bergson Gonçalves de Abreu', 'Alexandre Agostinho Mexia', 'Amanda Isabela Hakime Barcelos', 'Marice Cristine Vendruscolo']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Tangará rural: radiodifusão e transferência de tecnologias de produção agrícola,2016,ATUAL,EXTENSAO,"['Marcio Osvaldo Lima Magalhães', 'Anísio da Silva Nunes', 'José Roberto Rambo', 'Gilmar Laforga', 'Eliel Ferreira Porto', 'Wellington Procópio']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Pesquisa e Geração de Conhecimento para Canola,2016,ATUAL,PESQUISA,"['Marcio Osvaldo Lima Magalhães', 'Roberto Antonio Savelli Martinez', 'Ronicely Pereira da Rocha', 'Eletisandra das Neves', 'Astor Henrique Nied', 'Marice Cristine Vendruscolo', 'Anísio da Silva Nunes', 'Genei Antonio Dalmago', 'Anderson Santi', 'Gilberto Rocca da Cunha', 'Jorge Alberto Gouvêa', 'Elisson Stephanio Savi Pauletti', 'Cristian Maicol Plentz', 'Anderson Fernandez de Miranda', 'Marinez Cargnin-Stieler']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Levantamento das Atividades Potencialmente Poluidora do Município de Tangará da Serra, MT-Brasil",2018,ATUAL,PESQUISA,"['Marcio Osvaldo Lima Magalhães', 'Roberto Antonio Savelli Martinez', 'Rivanildo Dallacort', 'Ronicely Pereira da Rocha', 'Miriam Hiroko Inouse', 'Adalberto Santi', 'Joana Rita Ricas', 'Anildo Ferreira Machado', 'Edilson Aranda de Oliveira', 'Eloisa Thereza Alves da Silva', 'MICHAEL SANTOS GARCIA']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
