ISSN	TÌtulo	Estrato
0012-3692	CHEST (AMERICAN COLLEGE OF CHEST PHYSICIANS)	A1
1673-5447	CHINA COMMUNICATIONS	A3
1004-4132	CHINESE JOURNAL OF SYSTEMS ENGINEERING AND ELECTRONICS	B3
1674-1056	CHINESE PHYSICS B	B1
0103-944X	CI NCIA & ENGENHARIA (UFU. IMPRESSO)	B4
1678-4561	CI NCIA & SA⁄DE COLETIVA	A1
0304-2685	CI NCIA & TROPICO	B3
1981-1829	CI NCIA E AGROTECNOLOGIA (ONLINE)	A2
1413-7054	CI NCIA E AGROTECNOLOGIA (UFLA)	A2
1413-8123	CI NCIA E SA⁄DE COLETIVA (IMPRESSO)	A1
1980-5098	CI NCIA FLORESTAL (ONLINE)	B2
2707-2207	CIENCIA LATINA REVISTA CIENTÍFICA MULTIDISCIPLINAR	B3
1678-4596	CIENCIA RURAL	A4
0278-081X	CIRCUITS, SYSTEMS, AND SIGNAL PROCESSING	A2
0009-7322	CIRCULATION (NEW YORK, N.Y.)	A1
1618-954X	CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY (PRINT)	A2
0009-8981	CLÕNICA CHIMICA ACTA	A3
0959-9851	CLINICAL AUTONOMIC RESEARCH	A3
0268-0033	CLINICAL BIOMECHANICS (BRISTOL)	A3
1179-1357	CLINICAL, COSMETIC AND INVESTIGATIONAL DENTISTRY	A4
1550-0594	CLINICAL EEG AND NEUROSCIENCE	B1
1868-7083	CLINICAL EPIGENETICS	A2
1523-0899	CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH	A1
1058-4838	CLINICAL INFECTIOUS DISEASES	A1
1470-2118	CLINICAL MEDICINE (LONDON)	A3
1388-2457	CLINICAL NEUROPHYSIOLOGY	A2
0363-9762	CLINICAL NUCLEAR MEDICINE	A3
0261-5614	CLINICAL NUTRITION	A1
1432-6981	CLINICAL ORAL INVESTIGATIONS	A1
1436-3771	CLINICAL ORAL INVESTIGATIONS (INTERNET)	A1
1475-0961	CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING (PRINT)	A4
2212-8166	CLINICAL PLASMA MEDICINE	A3
0269-2155	CLINICAL REHABILITATION	A1
2333-6625	CLINICAL RESEARCH IN PULMONOLOGY	C
0770-3198	CLINICAL RHEUMATOLOGY (PRINTED)	A4
1980-5322	CLINICS	A4
1807-5932	CLINICS (USP, IMPRESSO)	A4
1386-7857	CLUSTER COMPUTING	A2
1092-8529	CNS SPECTRUMS	A3
2317-1782	CODAS	A3
1984-3909	COFFEE SCIENCE	B3
2331-1916	COGENT ENGINEERING	A3
2176-9133	COGITARE ENFERMAGEM	B1
1866-9956	COGNITIVE COMPUTATION (PRINT)	A1
1612-4782	COGNITIVE PROCESSING (PRINT)	B1
1389-0417	COGNITIVE SYSTEMS RESEARCH	A4
2578-0190	COHESIVE JOURNAL OF MICROBIOLOGY & INFECTIOUS DISEASE	C
0927-7757	COLLOIDS AND SURFACES. A, PHYSICOCHEMICAL AND ENGINEERING ASPECTS (PRINT)	A2
0927-7765	COLLOIDS AND SURFACES. B, BIOINTERFACES (PRINT)	A2
2178-8332	COLLOQUIUM EXACTARUM	B3
0092-7872	COMMUNICATIONS IN ALGEBRA	B1
1865-0929	COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE	B2
1007-5704	COMMUNICATIONS IN NONLINEAR SCIENCE & NUMERICAL SIMULATION	A1
0361-0918	COMMUNICATIONS IN STATISTICS. SIMULATION AND COMPUTATION	B1
1532-0456	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY. C. TOXICOLOGY & PHARMACOLOGY	A1
0332-1649	COMPEL (BRADFORD)	A4
0965-2299	COMPLEMENTARY THERAPIES IN MEDICINE	A2
1099-0526	COMPLEXITY	A1
1076-2787	COMPLEXITY (NEW YORK, N.Y.)	A1
2516-3914	COMPOSANTS NANOE_LECTRONIQUES	C
1359-8368	COMPOSITES. PART B, ENGINEERING	A1
0101-8205	COMPUTATIONAL & APPLIED MATHEMATICS	A4
1748-670X	COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE (PRINT)	A3
1476-9271	COMPUTATIONAL BIOLOGY AND CHEMISTRY (PRINT)	A3
0927-7099	COMPUTATIONAL ECONOMICS	A1
1572-9974	COMPUTATIONAL ECONOMICS (ONLINE)	A1
0824-7935	COMPUTATIONAL INTELLIGENCE	A4
1687-5265	COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE	A1
1467-8640	COMPUTATIONAL INTELLIGENCE (ONLINE)	A4
1505-0602	COMPUTATIONAL METHODS IN SCIENCE AND TECHNOLOGY	B3
0167-9473	COMPUTATIONAL STATISTICS & DATA ANALYSIS (PRINT)	A2
0010-4485	COMPUTER AIDED DESIGN	A2
1061-3773	COMPUTER APPLICATIONS IN ENGINEERING EDUCATION	A3
0140-3664	COMPUTER COMMUNICATIONS	A2
1460-2067	COMPUTER JOURNAL (ONLINE)	A3
0010-4620	COMPUTER JOURNAL (PRINT)	A3
0018-9162	COMPUTER MAGAZINE	A1
0169-2607	COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE (PRINT)	A1
0045-7825	COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING	A1
1025-5842	COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING	A4
2168-1171	COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING. IMAGING & VISUALIZATION (ONLINE)	A3
1476-8259	COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING (ONLINE)	A4
1389-1286	COMPUTER NETWORKS	A1
2331-6071	COMPUTER SCIENCE AND INFORMATION TECHNOLOGY	C
1574-0137	COMPUTER SCIENCE REVIEW	A1
0920-5489	COMPUTER STANDARDS & INTERFACES	A1
0925-9724	COMPUTER SUPPORTED COOPERATIVE WORK	A2
1077-3142	COMPUTER VISION AND IMAGE UNDERSTANDING (PRINT)	A1
1686-4360	COMPUTER-AIDED DESIGN AND APPLICATIONS	B1
0895-6111	COMPUTERIZED MEDICAL IMAGING AND GRAPHICS	A1
2073-431X	COMPUTERS	C
0098-1354	COMPUTERS & CHEMICAL ENGINEERING	A1
0360-1315	COMPUTERS & EDUCATION	A1
0045-7906	COMPUTERS & ELECTRICAL ENGINEERING	A2
0098-3004	COMPUTERS & GEOSCIENCES	A2
0097-8493	COMPUTERS & GRAPHICS	A2
0360-8352	COMPUTERS & INDUSTRIAL ENGINEERING	A1
0898-1221	COMPUTERS & MATHEMATICS WITH APPLICATIONS (1987)	A2
0305-0548	COMPUTERS & OPERATIONS RESEARCH	A1
0167-4048	COMPUTERS & SECURITY	A1
0045-7949	COMPUTERS & STRUCTURES	A1
0168-1699	COMPUTERS AND ELECTRONICS IN AGRICULTURE	A1
0266-352X	COMPUTERS AND GEOTECHNICS	A1
0198-9715	COMPUTERS, ENVIRONMENT AND URBAN SYSTEMS	A1
0010-4825	COMPUTERS IN BIOLOGY AND MEDICINE	A2
0166-3615	COMPUTERS IN INDUSTRY	A1
0010-485X	COMPUTING	A1
1335-9150	COMPUTING AND INFORMATICS	B2
2595-0622	COMUNICA«’ES EM INFORMÁTICA	C
1532-0626	CONCURRENCY AND COMPUTATION: PRACTICE & EXPERIENCE	A3
1532-0634	CONCURRENCY AND COMPUTATION: PRACTICE & EXPERIENCE	A3
2410-3896	CONDENSED MATTER	B4
1983-9030	CONEXÕES (CAMPINAS. ONLINE)	B2
2359-5256	CONHECENDO ONLINE	B3
1983-9324	CONSCIENTIAE SA⁄DE (ONLINE)	B2
0102-8758	CONTEXTO & EDUCAÇ«√O	A2
2238-2577	CONTRACAMPO: BRAZILIAN JOURNAL OF COMMUNICATION	A3
1521-3986	CONTRIBUTIONS TO PLASMA PHYSICS	B1
0324-8569	CONTROL AND CYBERNETICS	B3
0967-0661	CONTROL ENGINEERING PRACTICE	A1
0010-8545	COORDINATION CHEMISTRY REVIEWS (PRINT)	A1
1541-2555	COPD (MONTICELLO. SULLIVAN COUNTY)	A3
0010-938X	CORROSION SCIENCE	A1
1466-609X	CRITICAL CARE (LONDON. ONLINE)	A1
1364-8535	CRITICAL CARE (LONDON. PRINT)	A1
0090-3493	CRITICAL CARE MEDICINE	A1
0738-8551	CRITICAL REVIEWS IN BIOTECHNOLOGY	A1
1528-7483	CRYSTAL GROWTH & DESIGN	A1
1466-8033	CRYSTENGCOMM (CAMBRIDGE. ONLINE)	A2
2347-4688	CURRENT AGRICULTURE RESEARCH JOURNAL	B4
1573-4072	CURRENT BIOACTIVE COMPOUNDS	B1
0929-8673	CURRENT MEDICINAL CHEMISTRY	A1
0343-8651	CURRENT MICROBIOLOGY (PRINT)	B1
1573-4137	CURRENT NANOSCIENCE	A4
1070-5295	CURRENT OPINION IN CRITICAL CARE	A2
1877-3435	CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY (PRINT)	A1
0959-440X	CURRENT OPINION IN STRUCTURAL BIOLOGY	A1
1544-1873	CURRENT OSTEOPOROSIS REPORTS	A2
1381-6128	CURRENT PHARMACEUTICAL DESIGN (PRINT)	A3
1568-0266	CURRENT TOPICS IN MEDICINAL CHEMISTRY (PRINT)	A2
2152-2715	CYBERPSYCHOLOGY, BEHAVIOR AND SOCIAL NETWORKING	A1
1043-4666	CYTOKINE	A4
1552-4922	CYTOMETRY. PART A	A2
0011-4642	CZECHOSLOVAK MATHEMATICAL JOURNAL (PRAGUE, PRINT)	B2
1477-9226	DALTON TRANSACTIONS (2003. PRINT)	A1
2306-5729	DATA	A4
0169-023X	DATA & KNOWLEDGE ENGINEERING	A3
1678-460X	DELTA. DOCUMENTAÇÃO DE ESTUDOS EM LINGUÍSTICA TEÓRICA E APLICADA	A1
0102-4450	DELTA. DOCUMENTAÇÃO DE ESTUDOS EM LINGUÍSTICA TEÓRICA E APLICADA	A1
1980-5764	DEMENTIA & NEUROPSYCHOLOGIA	B2
2175-9391	DEMOCRACIA DIGITAL E GOVERNO ELETRÔNICO	C
0420-1213	DEMONSTRATIO MATHEMATICA	B1
0109-5641	DENTAL MATERIALS	A1
0287-4547	DENTAL MATERIALS JOURNAL	A3
1524-4725	DERMATOLOGIC SURGERY (ONLINE)	A3
1529-8019	DERMATOLOGIC THERAPY	A4
0929-5585	DESIGN AUTOMATION FOR EMBEDDED SYSTEMS	A2
1572-8080	DESIGN AUTOMATION FOR EMBEDDED SYSTEMS (DORDRECHT. ONLINE)	A2
8756-5641	DEVELOPMENTAL NEUROPSYCHOLOGY	A2
0149-5992	DIABETES CARE	A1
0168-8227	DIABETES RESEARCH AND CLINICAL PRACTICE (PRINT)	A2
1520-7560	DIABETES/METABOLISM RESEARCH AND REVIEWS (ONLINE)	A3
0742-3071	DIABETIC MEDICINE	A3
0012-186X	DIABETOLOGIA (BERLIN)	A1
2075-4418	DIAGNOSTICS	B3
0925-9635	DIAMOND AND RELATED MATERIALS	A2
0340-4641	DIE QUINTESSENZ DER ZAHNTECHNIK	B4
0163-2116	DIGESTIVE DISEASES AND SCIENCES	A4
1462-6268	DIGITAL CREATIVITY (EXETER)	B1
1742-2876	DIGITAL INVESTIGATION	A1
1051-2004	DIGITAL SIGNAL PROCESSING (PRINT)	A1
0963-8288	DISABILITY AND REHABILITATION	A1
1748-3115	DISABILITY AND REHABILITATION: ASSISTIVE TECHNOLOGY	A2
1748-3107	DISABILITY AND REHABILITATION: ASSISTIVE TECHNOLOGY	A2
1464-5165	DISABILITY AND REHABILITATION (ONLINE)	A1
2164-6376	DISCONTINUITY, NONLINEARITY AND COMPLEXITY	B2
1026-0226	DISCRETE DYNAMICS IN NATURE AND SOCIETY	B2
0924-6703	DISCRETE EVENT DYNAMIC SYSTEMS	A4
0278-0240	DISEASE MARKERS (PRINT)	A3
2264-7228	DISTANCES ET M…DIATIONS DES SAVOIRS	B3
1980-8380	DOM / REVISTA DA FUNDAÇÃO DOM CABRAL	B3
2504-446X	DRONES	A3
0148-0545	DRUG AND CHEMICAL TOXICOLOGY (NEW YORK, N.Y. 1978)	A3
0737-3937	DRYING TECHNOLOGY	A2
1532-2300	DRYING TECHNOLOGY (ON LINE)	A2
1794-5992	DUAZARY	B3
0012-7353	DYNA (MEDELLÍN)	B2
1468-9367	DYNAMICAL SYSTEMS (PRINT)	B1
2312-6620	EAI ENDORSED TRANSACTIONS ON WIRELESS SPECTRUM	B3
0012-821X	EARTH AND PLANETARY SCIENCE LETTERS	A1
2333-5084	EARTH AND SPACE SCIENCE	A3
1880-5981	EARTH, PLANETS AND SPACE (ONLINE)	A2
1865-0473	EARTH SCIENCE INFORMATICS (PRINT)	A2
0197-9337	EARTH SURFACE PROCESSES AND LANDFORMS (PRINT)	A1
1590-1262	EATING AND WEIGHT DISORDERS (ONLINE)	A2
2352-3964	EBIOMEDICINE	A1
2318-8901	E-BOLETIM DA FÕSICA	B2
1678-4618	ECL…TICA QUÕMICA	B3
2589-5370	ECLINICALMEDICINE	A3
1476-945X	ECOLOGICAL COMPLEXITY (PRINT)	A3
1574-9541	ECOLOGICAL INFORMATICS (PRINT)	A1
0304-3800	ECOLOGICAL MODELLING	A2
1983-1994	ECONOMIA ENSAIOS	B2
2150-8925	ECOSPHERE	A2
0147-6513	ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	A1
2162-8769	ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY	A3
1938-6737	ECS TRANSACTIONS (ONLINE)	B1
1982-6621	EDUCA«√O EM REVISTA (UFMG - ONLINE)	A1
1676-2592	EDUCA«√O TEMÁTICA DIGITAL	A1
1357-6283	EDUCATION FOR HEALTH (ABINGDON. PRINT)	B2
2227-7102	EDUCATION SCIENCES	A2
1679-4508	EINSTEIN (SÃO PAULO)	A4
2191-219X	EJNMMI RESEARCH	A2
1532-5008	ELECTRIC POWER COMPONENTS AND SYSTEMS	A4
1532-5016	ELECTRIC POWER COMPONENTS AND SYSTEMS (ONLINE)	A4
0378-7796	ELECTRIC POWER SYSTEMS RESEARCH (PRINT)	A1
0948-7921	ELECTRICAL ENGINEERING (BERLIN. PRINT)	A3
1521-4109	ELECTROANALYSIS	A3
1040-0397	ELECTROANALYSIS (NEW YORK, N.Y.)	A3
0013-4686	ELECTROCHIMICA ACTA	A1
1567-4223	ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS	A1
2079-9292	ELECTRONICS	A4
0013-5194	ELECTRONICS LETTERS	A3
1350-911X	ELECTRONICS LETTERS (ONLINE)	A3
1414-8862	ELETR‘NICA DE POT NCIA (IMPRESSO)	A4
2050-084X	ELIFE	A1
1382-3256	EMPIRICAL SOFTWARE ENGINEERING	A1
2317-2606	ENCICLOPEDIA BIOSFERA	B4
2161-1017	ENDOCRINOLOGY & METABOLIC SYNDROME	C
1808-8759	ENERGIA NA AGRICULTURA	B4
0102-9169	ENERGIA NA AGRICULTURA (UNESP. BOTUCATU. IMPRESSO)	B4
1996-1073	ENERGIES (BASEL)	A2
0378-7788	ENERGY AND BUILDINGS	A1
1947-3818	ENERGY AND POWER ENGINEERING	C
1949-243X	ENERGY AND POWER ENGINEERING	C
0196-8904	ENERGY CONVERSION AND MANAGEMENT	A1
2363-7692	ENERGY, ECOLOGY AND ENVIRONMENT (PRINT)	A2
0140-9883	ENERGY ECONOMICS	A1
1570-646X	ENERGY EFFICIENCY (PRINT)	A3
2520-8942	ENERGY INFORMATICS	B2
0360-5442	ENERGY (OXFORD)	A1
0301-4215	ENERGY POLICY	A1
1556-7230	ENERGY SOURCES, PART A: RECOVERY, UTILIZATION, AND ENVIRONMENTAL EFFECTS	A4
2578-4862	ENERGY STORAGE	B2
2405-8297	ENERGY STORAGE MATERIALS	A1
2211-467X	ENERGY STRATEGY REVIEWS	A2
0973-0826	ENERGY SUSTAINABLE DEVELOPMENT	A1
1868-3967	ENERGY SYSTEMS	A3
1868-3975	ENERGY SYSTEMS	A3
2194-4296	ENERGY TECHNOLOGY	A2
2373-2822	ENEURO (ONLINE)	A4
1130-8621	ENFERMERÕA CLÕNICA	B2
0100-6916	ENGENHARIA AGRÕCOLA (IMPRESSO)	B1
1415-3025	ENGENHARIA ESTUDO E PESQUISA	B4
1413-4152	ENGENHARIA SANiT¡RIA E AMBIENTAL	A4
1676-1790	ENGENHARIA T…RMICA	B3
2317-6717	ENGEVISTA - REVISTA DA ESCOLA DE ENGENHARIA DA UFF	B2
1415-7314	ENGEVISTA (UFF)	B2
1947-3931	ENGINEERING	C
0955-7997	ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS	A1
0952-1976	ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE	A1
0264-4401	ENGINEERING COMPUTATIONS	A3
1350-6307	ENGINEERING FAILURE ANALYSIS	A2
0305-215X	ENGINEERING OPTIMIZATION (PRINT)	A2
2577-8196	ENGINEERING REPORTS	C
2631-8695	ENGINEERING RESEARCH EXPRESS	B3
0141-0296	ENGINEERING STRUCTURES	A1
0177-0667	ENGINEERING WITH COMPUTERS	A1
1751-7575	ENTERPRISE INFORMATION SYSTEMS (PRINT)	A2
1099-4300	ENTROPY (BASEL. ONLINE)	A2
0956-2478	ENVIRONMENT AND URBANIZATION	A1
1462-2912	ENVIRONMENTAL MICROBIOLOGY (PRINT)	A1
1364-8152	ENVIRONMENTAL MODELLING & SOFTWARE	A1
0167-6369	ENVIRONMENTAL MONITORING AND ASSESSMENT (PRINT)	A3
0269-7491	ENVIRONMENTAL POLLUTION (1987)	A1
0013-9351	ENVIRONMENTAL RESEARCH (NEW YORK, N.Y. PRINT)	A1
0013-936X	ENVIRONMENTAL SCIENCE & TECHNOLOGY	A1
0944-1344	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL	A2
0959-3330	ENVIRONMENTAL TECHNOLOGY	A2
1552-8618	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	A2
1679-4974	EPIDEMIOLOGIA E SERVICOS DE SAUDE	A3
1525-5050	EPILEPSY & BEHAVIOR (PRINT)	A3
0920-1211	EPILEPSY RESEARCH	A3
1294-9361	EPILEPTIC DISORDERS	B1
2193-1127	EPJ DATA SCIENCE	A1
1286-4854	EPL (EUROPHYSICS LETTERS)	A3
0014-0139	ERGONOMICS (LONDON. PRINT)	A1
0798-1015	ESPACIOS (CARACAS)	C
1807-8575	ESPA«O ENERGIA	C
2595-7910	ESPA«O ENERGIA	C
0103-4014	ESTUDOS AVAN«ADOS (USP)	A1
1806-9592	ESTUDOS AVAN«ADOS (USP)	A1
1808-4281	ESTUDOS E PESQUISAS EM PSICOLOGIA (ONLINE)	A2
1225-6463	ETRI JOURNAL	A3
1687-6180	EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING (ONLINE)	A3
1687-5281	EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING	A4
1687-1499	EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING	A4
1687-1472	EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING	A4
0175-7571	EUROPEAN BIOPHYSICS JOURNAL	A4
1018-8827	EUROPEAN CHILD & ADOLESCENT PSYCHIATRY	A1
0195-668X	EUROPEAN HEART JOURNAL	A1
1439-6319	EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY (PRINT)	A2
2349-8870	EUROPEAN JOURNAL OF BIOMEDICAL AND PHARMACEUTICAL SCIENCES	C
0959-8049	EUROPEAN JOURNAL OF CANCER	A1
1365-2362	EUROPEAN JOURNAL OF CLINICAL INVESTIGATION	A2
0947-3580	EUROPEAN JOURNAL OF CONTROL	A2
1305-7464	EUROPEAN JOURNAL OF DENTISTRY (ONLINE)	A4
1305-7456	EUROPEAN JOURNAL OF DENTISTRY (PRINT)	A4
2736-576X	EUROPEAN JOURNAL OF ENGINEERING AND TECHNOLOGY RESEARCH	C
0304-3797	EUROPEAN JOURNAL OF ENGINEERING EDUCATION (PRINT)	A4
2506-8016	EUROPEAN JOURNAL OF ENGINEERING RESEARCH AND SCIENCE	C
0014-2980	EUROPEAN JOURNAL OF IMMUNOLOGY	A2
1438-7697	EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY (PRINT)	A2
0953-816X	EUROPEAN JOURNAL OF NEUROSCIENCE (PRINT)	A4
0301-2115	EUROPEAN JOURNAL OF OBSTETRICS, GYNECOLOGY, AND REPRODUCTIVE BIOLOGY	A4
0377-2217	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH	A1
0909-8836	EUROPEAN JOURNAL OF ORAL SCIENCES	A2
0928-0987	EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES	A1
2501-1235	EUROPEAN JOURNAL OF PHYSICAL EDUCATION AND SPORT SCIENCE	B2
1309-7202	EUROPEAN JOURNAL OF PHYSICS EDUCATION	B4
0143-0807	EUROPEAN JOURNAL OF PHYSICS (PRINT)	A3
0929-1873	EUROPEAN JOURNAL OF PLANT PATHOLOGY	A2
1101-1262	EUROPEAN JOURNAL OF PUBLIC HEALTH	A1
1746-1391	EUROPEAN JOURNAL OF SPORT SCIENCE (PRINT)	A1
2037-7460	EUROPEAN JOURNAL OF TRANSLATIONAL MYOLOGY	B1
1434-6052	EUROPEAN PHYSICAL JOURNAL C. PARTICLES AND FIELDS	A2
1434-6044	EUROPEAN PHYSICAL JOURNAL. C, PARTICLES AND FIELDS (PRINT)	A2
2190-5444	EUROPEAN PHYSICAL JOURNAL PLUS	A2
0924-9338	EUROPEAN PSYCHIATRY (PARIS)	A2
0938-7994	EUROPEAN RADIOLOGY	A1
0295-5075	EUROPHYSICS LETTERS (PRINT)	A3
1741-427X	EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE (PRINT)	A3
1752-4571	EVOLUTIONARY APPLICATIONS	A1
1864-5909	EVOLUTIONARY INTELLIGENCE	A3
1868-6478	EVOLVING SYSTEMS	A3
1984-3151	E-XACTA (BELO HORIZONTE)	B3
2178-0471	EXATAS ONLINE - REVISTA CIENTÍFICA DO DEPARTAMENTO DE QUÕMICA E EXATAS	B1
1611-2156	EXCLI JOURNAL	A2
1077-5552	EXERCISE IMMUNOLOGY REVIEW	A1
1982-2413	EXPERI NCIAS EM ENSINO DE CI NCIAS (UFRGS)	B1
0361-073X	EXPERIMENTAL AGING RESEARCH	A4
1936-2293	EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY	A3
0014-4800	EXPERIMENTAL AND MOLECULAR PATHOLOGY (PRINT)	A2
1535-3702	EXPERIMENTAL BIOLOGY AND MEDICINE (MAYWOOD, N.J.: PRINT)	A3
0014-4819	EXPERIMENTAL BRAIN RESEARCH	B1
0014-4827	EXPERIMENTAL CELL RESEARCH	A4
0531-5565	EXPERIMENTAL GERONTOLOGY	A3
0190-2148	EXPERIMENTAL LUNG RESEARCH	B1
0014-4851	EXPERIMENTAL MECHANICS	A2
1812-9269	EXPERIMENTAL ONCOLOGY	B3
0014-4894	EXPERIMENTAL PARASITOLOGY	A4
0958-0670	EXPERIMENTAL PHYSIOLOGY (PRINT)	A3
0894-1777	EXPERIMENTAL THERMAL AND FLUID SCIENCE	A1
1468-0394	EXPERT SYSTEMS (ONLINE)	A3
0957-4174	EXPERT SYSTEMS WITH APPLICATIONS	A1
2358-7180	EXTENSÃO EM FOCO	B3
2674-9319	EXTENSÃO TECNOL”GIA(ONLINE)	C
1807-0221	EXTENSIO: REVISTA ELETR‘NICA DE EXTENSÃO	B1
2371-1671	FACETS	A4
0354-2025	FACTA UNIVERSITATIS. SERIES: MECHANICAL ENGINEERING	A4
2176-9427	FASCI-TECH FATEC SCS	B4
8756-758X	FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES (PRINT)	A2
0015-0193	FERROELECTRICS (PRINT)	B2
0146-8030	FIBER AND INTEGRATED OPTICS (PRINT)	B1
1229-9197	FIBERS AND POLYMERS	A2
1544-6123	FINANCE RESEARCH LETTERS (PRINT)	A1
2717-5677	FINE CHEMICAL ENGINEERING	C
0168-874X	FINITE ELEMENTS IN ANALYSIS AND DESIGN	A1
1518-9740	FISIOTERAPIA BRASIL	B2
2526-9747	FISIOTERAPIA BRASIL (ONLINE)	B2
2316-9117	FISIOTERAPIA E PESQUISA	B1
1980-5918	FISIOTERAPIA EM MOVIMENTO	B1
1809-3469	FISIOTERAPIA SER	C
2318-3381	FISISENECTUS	B3
0955-5986	FLOW MEASUREMENT AND INSTRUMENTATION	A3
1793-6780	FLUCTUATION AND NOISE LETTERS (ONLINE)	A4
0378-3812	FLUID PHASE EQUILIBRIA	A1
0278-6915	FOOD AND CHEMICAL TOXICOLOGY	A1
0308-8146	FOOD CHEMISTRY	A1
0963-9969	FOOD RESEARCH INTERNATIONAL	A1
1344-6606	FOOD SCIENCE AND TECHNOLOGY RESEARCH	B1
2318-6356	FORSCIENCE	B3
1980-0827	FÓRUM AMBIENTAL DA ALTA PAULISTA	A2
0015-9018	FOUNDATIONS OF PHYSICS	A4
1971-8993	FRATTURA E INTEGRITA STRUTTURALE	B1
1029-2470	FREE RADICAL RESEARCH	A4
1663-4365	FRONTIERS IN AGING NEUROSCIENCE	A2
2297-4687	FRONTIERS IN APPLIED MATHEMATICS AND STATISTICS	B4
1662-5153	FRONTIERS IN BEHAVIORAL NEUROSCIENCE	A3
2296-4185	FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY	A3
2297-3362	FRONTIERS IN BUILT ENVIRONMENT	A3
2297-055X	FRONTIERS IN CARDIOVASCULAR MEDICINE	A3
1662-5102	FRONTIERS IN CELLULAR NEUROSCIENCE	A3
2296-2646	FRONTIERS IN CHEMISTRY	A3
2297-900X	FRONTIERS IN COMMUNICATION	A3
1662-5188	FRONTIERS IN COMPUTATIONAL NEUROSCIENCE	A3
1664-2392	FRONTIERS IN ENDOCRINOLOGY	A3
1662-5161	FRONTIERS IN HUMAN NEUROSCIENCE	A2
1664-3224	FRONTIERS IN IMMUNOLOGY (ONLINE)	A2
2297-3079	FRONTIERS IN MECHANICAL ENGINEERING	C
2296-858X	FRONTIERS IN MEDICINE	A1
1664-302X	FRONTIERS IN MICROBIOLOGY (ONLINE)	A2
1662-5099	FRONTIERS IN MOLECULAR NEUROSCIENCE	A3
1662-5110	FRONTIERS IN NEURAL CIRCUITS	A2
1662-5129	FRONTIERS IN NEUROANATOMY	A1
1662-5196	FRONTIERS IN NEUROINFORMATICS	A2
1664-2295	FRONTIERS IN NEUROLOGY	A4
1662-5218	FRONTIERS IN NEUROROBOTICS	A3
1662-453X	FRONTIERS IN NEUROSCIENCE	A3
2234-943X	FRONTIERS IN ONCOLOGY	A4
1664-042X	FRONTIERS IN PHYSIOLOGY	A2
1664-462X	FRONTIERS IN PLANT SCIENCE	A1
1664-1078	FRONTIERS IN PSYCHOLOGY	A1
2296-2565	FRONTIERS IN PUBLIC HEALTH	A1
2504-0537	FRONTIERS IN RESEARCH METRICS AND ANALYTICS	B1
2297-7775	FRONTIERS IN SOCIOLOGY	A1
1662-5137	FRONTIERS IN SYSTEMS NEUROSCIENCE	A1
2095-0179	FRONTIERS OF CHEMICAL SCIENCE AND ENGINEERING	A2
2096-0255	FRONTIERS OF ENGINEERING MANAGEMENT	B2
2095-0233	FRONTIERS OF MECHANICAL ENGINEERING	A4
0016-2361	FUEL (GUILDFORD)	A1
2175-7437	FULL DENTISTRY IN SCIENCE	B4
1878-6146	FUNGAL BIOLOGY	A2
0920-3796	FUSION ENGINEERING AND DESIGN	A2
0167-739X	FUTURE GENERATION COMPUTER SYSTEMS	A1
1999-5903	FUTURE INTERNET	C
1746-0913	FUTURE MICROBIOLOGY (PRINT)	A3
0165-0114	FUZZY SETS AND SYSTEMS	A2
0966-6362	GAIT & POSTURE	A2
2161-783X	GAMES FOR HEALTH JOURNAL	A1
