ISSN	Titulo	Estrato	Classificação
2582-1423	ACTA SCIENTIFIC NUTRITIONAL HEALTH	C	
1982-422X	ACTA TECNOLÓGICA	C	
0001-706X	ACTA TROPICA	A2	
2214-8604	ADDITIVE MANUFACTURING	A1	
2076-3387	ADMINISTRATIVE SCIENCES	A2	
2177-5281	ADOLESCÊNCIA & SAÚDE	B2	
0929-5607	ADSORPTION (BOSTON)	A2	
1572-8757	ADSORPTION (DORDRECHT. ONLINE)	A2	
0263-6174	ADSORPTION SCIENCE & TECHNOLOGY	A2	
2042-4868	ADVANCE JOURNAL OF FOOD SCIENCE AND TECHNOLOGY	B2	
2366-7478	ADVANCED BIOSYSTEMS	A4	
2199-160X	ADVANCED ELECTRONIC MATERIALS	A1	
1527-2648	ADVANCED ENGINEERING MATERIALS	A2	
1438-1656	ADVANCED ENGINEERING MATERIALS (PRINT)	A2	
2524-7921	ADVANCED FIBER MATERIALS	B4	
1616-301X	ADVANCED FUNCTIONAL MATERIALS (PRINT)	A1	
2055-0340	ADVANCED MANUFACTURING: POLYMER & COMPOSITES SCIENCE	A3	
2196-7350	ADVANCED MATERIALS INTERFACES	A1	
0976-3961	ADVANCED MATERIALS LETTERS	B2	
1022-6680	ADVANCED MATERIALS RESEARCH	C	
1662-8985	ADVANCED MATERIALS RESEARCH (ONLINE)	C	
0935-9648	ADVANCED MATERIALS (WEINHEIM PRINT)	A1	
0921-8831	ADVANCED POWDER TECHNOLOGY (PRINT)	A1	
2164-6627	ADVANCED SCIENCE, ENGINEERING AND MEDICINE	B2	
1743-6753	ADVANCES IN APPLIED CERAMICS (PRINT)	A3	
0065-2164	ADVANCES IN APPLIED MICROBIOLOGY	A2	
0724-6145	ADVANCES IN BIOCHEMICAL ENGINEERING, BIOTECHNOLOGY	A4	
2162-2183	ADVANCES IN BIOLOGICAL CHEMISTRY.	C	
2156-8502	ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY	B3	
2156-8456	ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY (IMPRESSO)	B3	
0951-7197	ADVANCES IN CEMENT RESEARCH	A3	
2160-0406	ADVANCES IN CHEMICAL ENGINEERING AND SCIENCE	B2	
2160-0392	ADVANCES IN CHEMICAL ENGINEERING AND SCIENCE	B2	
1687-8086	ADVANCES IN CIVIL ENGINEERING (PRINT)	B2	
0001-8686	ADVANCES IN COLLOID AND INTERFACE SCIENCE (PRINT)	A1	
1687-8108	ADVANCES IN CONDENSED MATTER PHYSICS (PRINT)	B2	
1093-0191	ADVANCES IN ENVIRONMENTAL RESEARCH (PRINT)	B2	
2520-7105	ADVANCES IN FOOD SCIENCE AND ENGINEERING	B4	
1680-7340	ADVANCES IN GEOSCIENCES (PRINT)	B1	
1730-2439	ADVANCES IN MATERIALS SCIENCE	B2	
1687-8442	ADVANCES IN MATERIALS SCIENCE AND ENGINEERING (ONLINE)	A3	
1687-8434	ADVANCES IN MATERIALS SCIENCE AND ENGINEERING (PRINT)	A3	
1687-9120	ADVANCES IN MATHEMATICAL PHYSICS (PRINT)	B2	
1687-8140	ADVANCES IN MECHANICAL ENGINEERING	A4	
2165-3402	ADVANCES IN MICROBIOLOGY	B3	
2169-0529	ADVANCES IN NANOPARTICLES	B2	
1098-2329	ADVANCES IN POLYMER TECHNOLOGY	A4	
0730-6679	ADVANCES IN POLYMER TECHNOLOGY (PRINT)	A4	
2348-0394	ADVANCES IN RESEARCH	B2	
2572-8490	ADVANCES IN TISSUE ENGINEERING AND REGENERATIVE MEDICINE: OPEN ACCESS	B3	
2662-4052	ADVANCES IN TRADITIONAL MEDICINE	C	
0309-1708	ADVANCES IN WATER RESOURCES	A1	
0278-6826	AEROSOL SCIENCE AND TECHNOLOGY (PRINT)	A3	
0001-9704	AFINIDAD (BARCELONA)	B3	
1991-637X	AFRICAN JOURNAL OF AGRICULTURAL RESEARCH	B3	
1684-5315	AFRICAN JOURNAL OF BIOTECHNOLOGY	B3	
1996-0808	AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH	B3	
2152-5250	AGING AND DISEASE	A1	
1982-999X	ÁGORA FILOSÓFICA	A4	
1984-252X	AGRARIAN (DOURADOS. IMPRESSO)	B4	
1984-2538	AGRARIAN (DOURADOS. ONLINE)	B4	
0168-1923	AGRICULTURAL AND FOREST METEOROLOGY (PRINT)	A1	
2156-8553	AGRICULTURAL SCIENCES	B3	
2077-0472	AGRICULTURE	A3	
2452-316X	AGRICULTURE AND NATURAL RESOURCES	A3	
0167-8809	AGRICULTURE, ECOSYSTEMS & ENVIRONMENT (PRINT)	A1	
1982-8470	AGRO@MBIENTE ON-LINE	B4	
1406-894X	AGRONOMY RESEARCH	B1	
2359-1455	AGRONOMY SCIENCE AND BIOTECHNOLOGY	B4	
1808-6845	AGROPECUÁRIA CIENTÍFICA NO SEMI-ÁRIDO	B4	
0100-7467	AGROPECUÁRIA TÉCNICA (UFPB)	B4	
2525-8990	AGROTEC - REVISTA AGROPECUARIA TECNICA (ONLINE)	B4	
2179-9784	ÁGUAS SUBTERRÂNEAS	B3	
0101-7004	ÁGUAS SUBTERRÂNEAS (SÃO PAULO)	B3	
0001-1541	AICHE JOURNAL	A1	
2471-2086	AIMS AGRICULTURE AND FOOD	B1	
2333-8334	AIMS ENERGY	B1	
2158-3226	AIP ADVANCES	A4	
1873-9326	AIR QUALITY, ATMOSPHERE & HEALTH (ONLINE)	A2	
1873-9318	AIR QUALITY, ATMOSPHERE AND HEALTH	A2	
0002-2667	AIRCRAFT ENGINEERING	B3	
2211-9264	ALGAL RESEARCH	A1	
1205-7398	ALTERNATIVES JOURNAL (WATERLOO)	B4	
0084-5841	AMA. AGRICULTURAL MECHANIZATION IN ASIA, AFRICA AND LATIN AMERICA	B3	
2191-0855	AMB EXPRESS	A4	
1809-4422	AMBIENTE & SOCIEDADE (ONLINE)	A2	
1678-8621	AMBIENTE CONSTRUÍDO (ONLINE)	A3	
1414-753X	AMBIENTE E SOCIEDADE	A2	
0002-7014	AMEGHINIANA	A4	
0002-7812	AMERICAN CERAMIC SOCIETY BULLETIN	B1	
2162-142X	AMERICAN INTERNATIONAL JOURNAL OF CONTEMPORARY RESEARCH	C	
0894-8275	AMERICAN JOURNAL OF DENTISTRY	B1	
1941-7020	AMERICAN JOURNAL OF ENGINEERING AND APPLIED SCIENCES	C	
2320-0847	AMERICAN JOURNAL OF ENGINEERING RESEARCH	C	
2320-0936	AMERICAN JOURNAL OF ENGINEERING RESEARCH	C	
2166-4633	AMERICAN JOURNAL OF ENVIRONMENTAL ENGINEERING	C	
1553-619X	AMERICAN JOURNAL OF IMMUNOLOGY	C	
2162-8424	AMERICAN JOURNAL OF MATERIALS SCIENCE	B2	
2162-9382	AMERICAN JOURNAL OF MATERIALS SCIENCE	B2	
0002-9483	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	A1	
2158-2750	AMERICAN JOURNAL OF PLANT SCIENCES	B3	
2326-9006	AMERICAN JOURNAL OF THEORETICAL AND APPLIED STATISTICS	B3	
2313-4410	AMERICAN SCIENTIFIC RESEARCH JOURNAL FOR ENGINEERING, TECHNOLOGY, AND SCIENCES	C	
2313-4402	AMERICAN SCIENTIFIC RESEARCH JOURNAL FOR ENGINEERING, TECHNOLOGY, AND SCIENCES (ASRJETS)	C	
0939-4451	AMINO ACIDS (WIEN. PRINT)	A2	
0001-3765	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO)	A2	
1678-2690	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE)	A2	
2447-5114	ANAIS DO CONGRESSO DE INICIAÇÃO CIENTÍFICA DA UNICAMPÍLIA	C	
0303-7762	ANAIS DO INSTITUTO DE HIGIENE E MEDICINA TROPICAL	B3	
0003-2654	ANALYST (LONDON. 1877. PRINT)	A1	
1364-5528	ANALYST (ONLINE)	A1	
0003-2670	ANALYTICA CHIMICA ACTA (PRINT)	A1	
1618-2642	ANALYTICAL AND BIOANALYTICAL CHEMISTRY (PRINT)	A2	
2008-4226	ANALYTICAL AND BIOANALYTICAL ELECTROCHEMISTRY	B1	
0003-2697	ANALYTICAL BIOCHEMISTRY (PRINT)	A2	
2214-1812	ANALYTICAL CHEMISTRY RESEARCH	B3	
0003-2700	ANALYTICAL CHEMISTRY (WASHINGTON)	A1	
0003-2719	ANALYTICAL LETTERS	B1	
1759-9660	ANALYTICAL METHODS	A1	
0910-6340	ANALYTICAL SCIENCES	B1	
2708-2989	ANGOLAN MINERAL, OIL AND GAS JOURNAL	C	
1344-3941	ANIMAL SCIENCE JOURNAL	A3	
0232-704X	ANNALS OF GLOBAL ANALYSIS AND GEOMETRY	A3	
2640-2300	ANNALS OF MARINE SCIENCE	C	
1590-4261	ANNALS OF MICROBIOLOGY	B1	
1869-2044	ANNALS OF MICROBIOLOGY	B1	
0306-4549	ANNALS OF NUCLEAR ENERGY	A2	
2079-6382	ANTIBIOTICS-BASEL	A3	
1871-5206	ANTI-CANCER AGENTS IN MEDICINAL CHEMISTRY	A2	
0250-7005	ANTICANCER RESEARCH	B1	
0066-4804	ANTIMICROBIAL AGENTS AND CHEMOTHERAPY (PRINT)	A1	
2076-3921	ANTIOXIDANTS	B1	
0003-6072	ANTONIE VAN LEEUWENHOEK (GEDRUKT)	A4	
1982-3908	ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (ONLINE)	B2	
0101-9759	ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (UFRJ. IMPRESSO)	B2	
2166-532X	APL MATERIALS	A1	
2378-0967	APL PHOTONICS	A2	
2196-4351	APPLIED ADHESION SCIENCE	B1	
0099-2240	APPLIED AND ENVIRONMENTAL MICROBIOLOGY (PRINT)	A1	
0273-2289	APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY	A2	
1559-0291	APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY (ONLINE)	A2	
0003-6838	APPLIED BIOCHEMISTRY AND MICROBIOLOGY	B2	
0926-860X	APPLIED CATALYSIS. A, GENERAL (PRINT)	A1	
0926-3373	APPLIED CATALYSIS. B, ENVIRONMENTAL (PRINT)	A1	
0169-1317	APPLIED CLAY SCIENCE (PRINT)	A1	
0929-189X	APPLIED COMPOSITE MATERIALS	A3	
2572-6846	APPLIED EARTH SCIENCE (ONLINE)	B1	
1589-1623	APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH (PRINT)	B2	
0306-2619	APPLIED ENERGY	A1	
0003-6870	APPLIED ERGONOMICS	A1	
0883-2927	APPLIED GEOCHEMISTRY	A2	
0937-9347	APPLIED MAGNETIC RESONANCE	B2	
0307-904X	APPLIED MATHEMATICAL MODELLING	A1	
0096-3003	APPLIED MATHEMATICS AND COMPUTATION	A2	
0175-7598	APPLIED MICROBIOLOGY AND BIOTECHNOLOGY	A2	
1432-0614	APPLIED MICROBIOLOGY AND BIOTECHNOLOGY	A2	
2190-5509	APPLIED NANOSCIENCE	A2	
2190-5517	APPLIED NANOSCIENCE	A2	
1559-128X	APPLIED OPTICS	A3	
0003-6935	APPLIED OPTICS	A3	
0268-2605	APPLIED ORGANOMETALLIC CHEMISTRY	A2	
0947-8396	APPLIED PHYSICS. A, MATERIALS SCIENCE & PROCESSING (PRINT)	A3	
0946-2171	APPLIED PHYSICS. B, LASERS AND OPTICS (PRINT)	A2	
1077-3118	APPLIED PHYSICS LETTERS	A1	
0003-6951	APPLIED PHYSICS LETTERS	A1	
0969-8043	APPLIED RADIATION AND ISOTOPES	A2	
2076-3417	APPLIED SCIENCES	A3	
1568-4946	APPLIED SOFT COMPUTING (PRINT)	A1	
0003-7028	APPLIED SPECTROSCOPY	A2	
0570-4928	APPLIED SPECTROSCOPY REVIEWS (SOFTCOVER ED.)	A1	
0169-4332	APPLIED SURFACE SCIENCE	A1	
2666-5239	APPLIED SURFACE SCIENCE ADVANCES	B4	
1359-4311	APPLIED THERMAL ENGINEERING	A1	
1402-2001	APPLIED VEGETATION SCIENCE	A1	
2190-5495	APPLIED WATER SCIENCE	A3	
0365-5873	AQEIC. ASOCIACIÓN QUÍMICA ESPAÑOLA DE LA INDUSTRIA DEL CUERO	B4	
0144-8609	AQUACULTURAL ENGINEERING	A2	
2378-3184	AQUACULTURE & MARINE BIOLOGY	C	
0044-8486	AQUACULTURE (AMSTERDAM)	A1	
0967-6120	AQUACULTURE INTERNATIONAL	A2	
1355-557X	AQUACULTURE RESEARCH	A1	
1365-2109	AQUACULTURE RESEARCH (ONLINE)	A1	
0166-445X	AQUATIC TOXICOLOGY	A1	
2193-567X	ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING (IMPRESSO)	A2	
1878-5352	ARABIAN JOURNAL OF CHEMISTRY	A1	
0365-6233	ARCHIV DER PHARMAZIE (WEINHEIM)	A3	
2687-8100	ARCHIVES IN BIOMEDICAL ENGINEERING & BIOTECHNOLOGY	B4	
2674-6832	ARCHIVES IN BIOSCIENCES & HEALTH	B4	
0365-0340	ARCHIVES OF AGRONOMY AND SOIL SCIENCE	A2	
1134-3060	ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING	A1	
0090-4341	ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY (PRINT)	A3	
1897-2764	ARCHIVES OF MATERIALS SCIENCE AND ENGINEERING	B2	
1733-3490	ARCHIVES OF METALLURGY AND MATERIALS	A4	
0003-9969	ARCHIVES OF ORAL BIOLOGY	A1	
1068-2341	ARCHIVOS ANALÍTICOS DE POLÍTICAS EDUCATIVAS / EDUCATION POLICY ANALYSIS ARCHIVES	A1	
1885-4494	ARCHIVOS DE ZOOTECNIA	B2	
1532-4982	ARID LAND RESEARCH AND MANAGEMENT (PRINT)	A4	
1551-7012	ARKIVOC (ONLINE)	B3	
0102-0935	ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA	B1	
1678-4162	ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA (ONLINE)	B1	
2526-5393	ARQUIVOS DE ASMA, ALERGIA E IMUNOLOGIA	C	
1808-1657	ARQUIVOS DO INSTITUTO BIOLÓGICO (ONLINE)	B4	
2178-1990	ARQUIVOS EM ODONTOLOGIA	B3	
2446-5666	ARRUDEA	B4	
2169-141X	ARTIFICIAL CELLS, NANOMEDICINE, AND BIOTECHNOLOGY	A2	
2332-9017	ASCE-ASME JOURNAL OF RISK AND UNCERTAINTY IN ENGINEERING SYSTEMS, PART B: MECHANICAL ENGINEERING	A3	
2319-2801	ASIAN ACADEMIC RESEARCH JOURNAL OF MULTIDISCIPLINARY	B4	
0973-3345	ASIAN CHITIN JOURNAL	C	
1819-1878	ASIAN JOURNAL OF ANIMAL SCIENCES	B2	
2457-0125	ASIAN JOURNAL OF BIOTECHONOLOGY AND BIORESOURCE TECHNOLOGY	B3	
0970-7077	ASIAN JOURNAL OF CHEMISTRY	C	
2456-690X	ASIAN JOURNAL OF ENVIRONMENT & ECOLOGY	C	
2455-3891	ASIAN JOURNAL OF PHARMACEUTICAL AND CLINICAL RESEARCH	C	
2581-7167	ASIAN JOURNAL OF RESEARCH IN CROP SCIENCE	B3	
0976-3376	ASIAN JOURNAL OF SCIENCE AND TECHNOLOGY	C	
2221-1691	ASIAN PACIFIC JOURNAL OF TROPICAL BIOMEDICINE	A3	
2578-0255	ASPECTS IN MINING & MINERAL SCIENCE	C	
0261-1929	ATLA. ALTERNATIVES TO LABORATORY ANIMALS	A4	
2073-4433	ATMOSPHERE	A4	
1680-7324	ATMOSPHERIC CHEMISTRY AND PHYSICS (ONLINE)	A1	
1352-2310	ATMOSPHERIC ENVIRONMENT	A1	
1867-8548	ATMOSPHERIC MEASUREMENT TECHNIQUES	A2	
1309-1042	ATMOSPHERIC POLLUTION RESEARCH	A2	
0169-8095	ATMOSPHERIC RESEARCH (PRINT)	A1	
1431-5254	ATW. INTERNATIONAL JOURNAL FOR NUCLEAR POWER	B4	
2381-8905	AUSTIN CHEMICAL ENGINEERING	B3	
0045-0421	AUSTRALIAN DENTAL JOURNAL (PRINT)	A2	
1329-1947	AUSTRALIAN ENDODONTIC JOURNAL	A4	
1747-4477	AUSTRALIAN ENDODONTIC JOURNAL	A4	
1991-8178	AUSTRALIAN JOURNAL OF BASIC AND APPLIED SCIENCES	B4	
1835-2693	AUSTRALIAN JOURNAL OF CROP SCIENCE	B2	
1835-2707	AUSTRALIAN JOURNAL OF CROP SCIENCE (ONLINE)	B2	
0587-3908	AUSTRALIAN ORTHODONTIC JOURNAL	B4	
2314-1433	AVANCES EN ENERGÍAS RENOVABLES Y MEDIO AMBIENTE - AVERMA	B2	
1742-7835	BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY (PRINT)	A4	
0144-929X	BEHAVIOUR & INFORMATION TECHNOLOGY	A1	
2190-4286	BEILSTEIN JOURNAL OF NANOTECHNOLOGY	A2	
2306-5710	BEVERAGES	A4	
2212-6198	BIOACTIVE CARBOHYDRATES AND DIETARY FIBRE	A3	
2574-0334	BIOACTIVE COMPOUNDS IN HEALTH AND DISEASE	C	
1757-6180	BIOANALYSIS (PRINT)	A2	
1878-8181	BIOCATALYSIS AND AGRICULTURAL BIOTECHNOLOGY	A3	
1024-2422	BIOCATALYSIS AND BIOTRANSFORMATION (PRINT)	B1	
0006-291X	BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS (PRINT)	A2	
1369-703X	BIOCHEMICAL ENGINEERING JOURNAL	A1	
0305-1978	BIOCHEMICAL SYSTEMATICS AND ECOLOGY	B1	
0005-2736	BIOCHIMICA ET BIOPHYSICA ACTA. BIOMEMBRANES	A1	
0925-4439	BIOCHIMICA ET BIOPHYSICA ACTA. MOLECULAR BASIS OF DISEASE	A2	
1570-9639	BIOCHIMICA ET BIOPHYSICA ACTA. PROTEINS AND PROTEOMICS	A2	
0300-9084	BIOCHIMIE (PARIS. PRINT)	A2	
1043-1802	BIOCONJUGATE CHEMISTRY	A1	
1756-0381	BIODATA MINING	A1	
0923-9820	BIODEGRADATION (DORDRECHT)	A3	
2236-9171	BIOENERGIA EM REVISTA: DIÁLOGOS	B4	
1939-1234	BIOENERGY RESEARCH	A2	
2306-5354	BIOENGINEERING	A3	
1983-4209	BIOFAR: REVISTA DE BIOLOGIA E FARMÁCIA	B4	
2525-9725	BIOFIX SCIENTIFIC JOURNAL (ONLINE)	B4	
0892-7014	BIOFOULING (NEW YORK. PRINT)	A1	
1759-7269	BIOFUELS	A4	
1932-104X	BIOFUELS, BIOPRODUCTS & BIOREFINING	A2	
1932-1031	BIOFUELS, BIOPRODUCTS AND BIOREFINING	A2	
1726-4189	BIOGEOSCIENCES	A1	
1177-9322	BIOINFORMATICS AND BIOLOGY INSIGHTS	A2	
1565-3633	BIOINORGANIC CHEMISTRY AND APPLICATIONS	A2	
1748-3182	BIOINSPIRATION & BIOMIMETICS (PRINT)	A2	
1934-8630	BIOINTERPHASES	A2	
2312-0088	BIOLOGICAL AND CHEMICAL RESEARCH	B4	
0163-4984	BIOLOGICAL TRACE ELEMENT RESEARCH	A3	
1045-1056	BIOLOGICALS (LONDON. PRINT)	A4	
2079-7737	BIOLOGY	A1	
1525-7797	BIOMACROMOLECULES	A1	
0961-9534	BIOMASS & BIOENERGY	A1	
2190-6815	BIOMASS CONVERSION AND BIOREFINERY	A4	
2525-7129	BIOMASSA BR	C	
2577-0268	BIOMATERIALS AND MEDICAL APPLICATIONS	B4	
2047-4830	BIOMATERIALS SCIENCE	A1	
2314-6133	BIOMED RESEARCH INTERNATIONAL	A3	
2314-6141	BIOMED RESEARCH INTERNATIONAL	A3	
2182-2360	BIOMEDICAL AND BIOPHARMACEUTICAL RESEARCH	B4	
2299-3932	BIOMEDICAL GLASSES	A4	
2574-1241	BIOMEDICAL JOURNAL OF SCIENTIFIC & TECHNICAL RESEARCH	C	
2319-4170	BIOMEDICAL JOURNAL (PRINT)	A1	
0959-2989	BIO-MEDICAL MATERIALS AND ENGINEERING	B2	
1748-605X	BIOMEDICAL MATERIALS (BMM)	A2	
1748-6041	BIOMEDICAL MATERIALS (BRISTOL. PRINT)	A2	
1387-2176	BIOMEDICAL MICRODEVICES (PRINT)	A3	
2156-7085	BIOMEDICAL OPTICS EXPRESS	A2	
2057-1976	BIOMEDICAL PHYSICS & ENGINEERING EXPRESS	A4	
2049-9434	BIOMEDICAL REPORTS	A2	
0753-3322	BIOMEDICINE & PHARMACOTHERAPY	A2	
0966-0844	BIOMETALS (OXFORD)	A1	
2218-273X	BIOMOLECULES	B2	
2191-1630	BIONANOSCIENCE	B2	
1390-9355	BIONATURA	B4	
0960-894X	BIOORGANIC & MEDICINAL CHEMISTRY LETTERS (PRINT)	A2	
0968-0896	BIOORGANIC & MEDICINAL CHEMISTRY (PRINT)	A2	
0045-2068	BIOORGANIC CHEMISTRY (PRINT)	A2	
0006-3495	BIOPHYSICAL JOURNAL (PRINT)	A1	
1867-2450	BIOPHYSICAL REVIEWS	A1	
1615-7605	BIOPROCESS AND BIOSYSTEMS ENGINEERING (INTERNET)	A3	
1615-7591	BIOPROCESS AND BIOSYSTEMS ENGINEERING (PRINT)	A3	
2674-9025	BIOREFINERY SUSTAINABLE SOLUTIONS	C	
0960-8524	BIORESOURCE TECHNOLOGY	A1	
2589-014X	BIORESOURCE TECHNOLOGY REPORTS	B1	
2197-4365	BIORESOURCES AND BIOPROCESSING.	A2	
1930-2126	BIORESOURCES (RALEIGH, N.C)	A3	
1981-3163	BIOSCIENCE JOURNAL (ONLINE)	B2	
0006-3568	BIOSCIENCE (WASHINGTON. PRINT)	A1	
0973-1245	BIOSCIENCES BIOTECHNOLOGY RESEARCH ASIA	C	
2456-2602	BIOSCIENCES BIOTECHNOLOGY RESEARCH ASIA (ON LINE)	C	
1537-5110	BIOSYSTEMS ENGINEERING	A1	
1052-0295	BIOTECHNIC & HISTOCHEMISTRY	A4	
2155-952X	BIOTECHNOLOGY & BIOMATERIALS	B2	
0734-9750	BIOTECHNOLOGY ADVANCES	A1	
0885-4513	BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY	A4	
0006-3592	BIOTECHNOLOGY AND BIOENGINEERING (PRINT)	A2	
1754-6834	BIOTECHNOLOGY FOR BIOFUELS	A1	
1860-6768	BIOTECHNOLOGY JOURNAL (PRINT)	A2	
0141-5492	BIOTECHNOLOGY LETTERS	A3	
1573-6776	BIOTECHNOLOGY LETTERS (DORDRECHT. ONLINE)	A3	
1520-6033	BIOTECHNOLOGY PROGRESS	A3	
8756-7938	BIOTECHNOLOGY PROGRESS (PRINT)	A3	
2215-017X	BIOTECHNOLOGY REPORTS	A2	
2452-0721	BIOTECHNOLOGY RESEARCH AND INNOVATION	A4	
1909-9959	BIOTECNOLOGÍA EN EL SECTOR AGROPECUARIO Y AGROINDUSTRIAL	B4	
2175-7925	BIOTEMAS	B4	
2352-5738	BIOTRIBOLOGY	A3	
0269-3879	BMC. BIOMEDICAL CHROMATOGRAPHY	A4	
1472-6750	BMC BIOTECHNOLOGY (ONLINE)	A3	
1471-2407	BMC CANCER (ONLINE)	A3	
1471-2393	BMC PREGNANCY AND CHILDBIRTH (ONLINE)	A1	
1756-0500	BMC RESEARCH NOTES	B1	
1746-6148	BMC VETERINARY RESEARCH	A2	
1983-9774	BOLETIM CENTRO DE PESQUISA E PROCESSAMENTO DE ALIMENTOS	B4	
0101-3637	BOLETIM DA SOCIEDADE BRASILEIRA DE CIÊNCIA E TECNOLOGIA DE ALIMENTOS	C	
1981-4100	BOLETIM DE INDÚSTRIA ANIMAL (ONLINE)	B4	
0102-0323	BOLETIM DO CENTRO DE PESQUISA E PROCESSAMENTO DE ALIMENTOS (IMPRESSO)	B4	
2178-2547	BOLETIM DO MUSEU PARAENSE EMÍLIO GOELDI. SÉRIE CIÊNCIAS HUMANAS	A1	
0366-3175	BOLETÍN DE LA SOCIEDAD ESPAÑOLA DE CERÁMICA Y VIDRIO	A3	
0717-7917	BOLETÍN LATINOAMERICANO Y DEL CARIBE DE PLANTAS MEDICINALES Y AROMÁTICAS	B2	
2594-942X	BOMGEAM	B4	
2352-1872	BONE REPORTS	A3	
1538-4721	BRACHYTHERAPY (NEW YORK, N.Y.)	B1	
0006-8993	BRAIN RESEARCH	A2	
0361-9230	BRAIN RESEARCH BULLETIN	A3	
