ISSN	Titulo	Estrato	Classificação
2236-6695	A BARRIGUDA: REVISTA CIENTÍFICA	B4	
1413-6090	A ECONOMIA EM REVISTA	B4	
0001-3072	ABACUS (SYDNEY. PRINT)	A2	
0102-6720	ABCD : ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA	B2	
2318-4965	ABCS HEALTH SCIENCES	B3	
2357-8114	ABCS HEALTH SCIENCES	B3	
1980-4814	ABCUSTOS (SÃO LEOPOLDO, RS)	B4	
1516-3210	A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO)	B4	
1012-8255	ACADEMIA (CARACAS)	B1	
1042-9670	ACADEMIC PSYCHIATRY	A1	
0001-4273	ACADEMY OF MANAGEMENT JOURNAL	A1	
1537-260X	ACADEMY OF MANAGEMENT LEARNING & EDUCATION	A1	
2358-6559	ACANTO EM REVISTA	B3	
1519-7859	AÇÃO ERGONÔMICA	B5	
2238-0701	AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA	B3	
2238-0701	AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA	B3	
0001-4575	ACCIDENT ANALYSIS AND PREVENTION	A1	
0951-3574	ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL	A1	
1368-0668	ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL	A1	
2152-2820	ACCOUNTING, ECONOMICS AND LAW: A CONVIVIUM	B4	
1744-9499	ACCOUNTING IN EUROPE (ONLINE)	A2	
1981-867X	ACERVO ON-LINE DE MÍDIA REGIONAL (UNITAU)	B4	
2178-2105	ACTA DE CIÊNCIAS E SAÚDE	B4	
2317-0190	ACTA FISIÁTRICA	B4	
1980-5772	ACTA GEOGRÁFICA (UFRR)	B3	
2316-4093	ACTA IGUAZU	B4	
2316-4093	ACTA IGUAZU	B4	
0102-6712	ACTA LIMNOLÓGICA BRASILIENSIA	B2	
2179-975X	ACTA LIMNOLOGICA BRASILIENSIA (ONLINE)	B2	
1982-0194	ACTA PAUL DE ENFERM	B1	
2317-8957	ACTA SCIENTIAE ET TECHNICAE	B3	
1679-9291	ACTA SCIENTIARUM. HEALTH SCIENCES (IMPRESSO)	B2	
1807-8656	ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES	B2	
1679-7361	ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES (IMPRESSO)	B2	
1806-2563	ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO)	B2	
1807-8664	ACTA SCIENTIARUM. TECHNOLOGY (ONLINE)	B2	
1981-5484	ACTA VETERINARIA BRASILICA	B2	
1850-2032	ACTAS DE DISEÑO	B4	
2215-3535	ACTUALIDADES EN PSICOLOGÍA	B1	
1969-6728	ACTUEL MARX	B1	
1518-9929	ADM. MADE (UNIVERSIDADE ESTÁCIO DE SÁ)	B2	
2316-7548	ADMINISTRAÇÃO DE EMPRESAS EM REVISTA	B3	
1516-5779	ADMINISTRAÇÃO EM DIÁLOGO	B4	
2177-6083	ADMINISTRAÇÃO: ENSINO E PESQUISA	B1	
2358-0917	ADMINISTRAÇÃO: ENSINO E PESQUISA (RAEP)	B1	
2177-6083	ADMINISTRAÇÃO: ENSINO E PESQUISA (RAEP)	B1	
2175-5787	ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL	B1	
2358-0917	ADMINISTRAÇÃO:ENSINO E PESQUISA	B1	
0095-3997	ADMINISTRATION & SOCIETY	A1	
2237-5139	ADM.MADE	B2	
1983-7089	ADMPG: GESTÃO ESTRATÉGICA.	B5	
1679-9941	ADOLESCÊNCIA & SAÚDE (UERJ)	B2	
0882-6110	ADVANCES IN ACCOUNTING	A2	
0098-9258	ADVANCES IN CONSUMER RESEARCH	A2	
2329-888X	ADVANCES IN DAIRY RESEARCH	B4	
2357-8181	ADVANCES IN FORESTRY SCIENCE	B3	
2194-5357	ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING	B2	
1474-7979	ADVANCES IN INTERNATIONAL MARKETING	A2	
1983-8611	ADVANCES IN SCIENTIFIC AND APPLIED ACCOUNTING	A2	
1984-5634	AEDOS: REVISTA DO CORPO DISCENTE DO PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA DA UFRGS (ONLINE)	B4	
1017-6772	AFRICAN DEVELOPMENT REVIEW (PRINT)	A2	
2046-8091	AFRICAN JOURNAL OF ACCOUNTING, AUDITING AND FINANCE (ONLINE)	B2	
2318-8499	AGENDA POLÍTICA	B3	
1981-9862	AGENDA SOCIAL (UENF)	B5	
2237-9010	ÁGORA : REVISTA DE DIVULGAÇÃO CIENTÍFICA	B4	
0103-3557	AGORA (FLORIANOPOLIS)	B4	
0104-7507	AGORA (UNC)	B4	
1414-0454	ÁGORA (UNISC)	B4	
1982-6737	ÁGORA (UNISC. ONLINE)	B4	
1984-2538	AGRARIAN (DOURADOS. ONLINE)	B5	
0742-4477	AGRIBUSINESS (NEW YORK, N.Y. PRINT)	A2	
1887-9292	AGRICULTURA FAMILIAR EN ESPAÑA	B4	
1414-0810	AGRICULTURA FAMILIAR (UFPA)	B4	
2193-7532	AGRICULTURAL AND FOOD ECONOMICS	B2	
1068-2805	AGRICULTURAL AND RESOURCE ECONOMICS REVIEW	A2	
0308-521X	AGRICULTURAL SYSTEMS	A2	
1828-5880	AGRIREGIONI EUROPA	B4	
1316-0354	AGROALIMENTARIA (CARACAS)	B1	
0100-4298	AGROANALYSIS (FGV)	B4	
1510-0839	AGROCIENCIA (MONTEVIDEO)	B2	
1982-8470	AGRO@MBIENTE ON-LINE	B3	
0002-1962	AGRONOMY JOURNAL (PRINT)	A2	
2525-877X	AGROPAMPA: REVISTA DE GESTÃO DO AGRONEGÓCIO	B5	
0100-7467	AGROPECUÁRIA TÉCNICA (UFPB)	B4	
2340-7743	AGUA Y TERRITORIO	B4	
1413-2591	ALCANCE (UNIVALI)	B2	
1413-2591	ALCANCE (UNIVALI) (CESSOU EM 2007)	B2	
1518-8728	ALCEU (PUCRJ)	B3	
1413-0394	ALETHEIA (ULBRA)	B2	
2359-6651	ALMANAQUE MULTIDISCIPLINAR DE PESQUISA	B4	
2036-5195	ALMATOURISM - JOURNAL OF TOURISM, CULTURE AND TERRITORIAL DEVELOPMENT	B3	
2318-4817	ALTUS CIÊNCIAS	B4	
2317-5125	AMAZÔNIA - REVISTA DE EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICAS (ONLINE)	B4	
1809-4058	AMAZÔNIA (BANCO DA AMAZÔNIA. 2005)	B5	
2317-4757	AMAZÔNIA EM FOCO: CIÊNCIA E TECNOLOGIA	B4	
2322-6307	AMAZONIA INVESTIGA	B4	
2238-8893	AMAZÔNIA, ORGANIZAÇÕES E SUSTENTABILIDADE	B3	
2317-5125	AMAZÔNIA (UFPA)	B4	
1983-3415	AMAZÔNICA - REVISTA DE PSICOPEDAGOGIA, PSICOLOGIA ESCOLAR E EDUCAÇÃO	B4	
1808-0251	AMBIÊNCIA	B3	
2175-9405	AMBIÊNCIA (ONLINE)	B3	
1809-4422	AMBIENTE & SOCIEDADE (ONLINE)	B1	
1678-8621	AMBIENTE CONSTRUÍDO (ONLINE)	B2	
1414-753X	AMBIENTE E SOCIEDADE (CAMPINAS)	B1	
1139-1979	ÁMBITOS (SEVILLA)	B2	
1390-1230	AMERICA LATINA EN MOVIMIENTO	B4	
1945-7731	AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY	A1	
0002-9092	AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS	A1	
1467-8276	AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS (ONLINE)	A1	
1945-5488	AMERICAN JOURNAL OF ECONOMICS AND BUSINESS ADMINISTRATION	B4	
2328-5699	AMERICAN JOURNAL OF ENVIRONMENTAL PROTECTION	B4	
0271-3586	AMERICAN JOURNAL OF INDUSTRIAL MEDICINE (PRINT)	A2	
2328-4099	AMERICAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH (ONLINE)	B4	
0092-5853	AMERICAN JOURNAL OF POLITICAL SCIENCE	A1	
2326-9006	AMERICAN JOURNAL OF THEORETICAL AND APPLIED STATISTICS	B4	
1506-8900	AMERYKA LACINSKA	B3	
1692-2522	ANAGRAMAS RUMBOS Y SENTIDOS DE LA COMUNICACION	B1	
2238-2925	ANAIS BRASILEIROS DE ESTUDOS TURÍSTICOS	B3	
