ISSN	Titulo	Estrato	Classificação
2159-6816	ANNALS OF LEISURE RESEARCH (ONLINE)	A1	
0254-5330	ANNALS OF OPERATION RESEARCH	A2	
1572-9338	ANNALS OF OPERATIONS RESEARCH (DORDRECHT. ONLINE)	A2	
0003-4916	ANNALS OF PHYSICS (PRINT)	A2	
1467-8292	ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS	A3	
0160-7383	ANNALS OF TOURISM RESEARCH	A1	
1983-201X	ANOS 90 (ONLINE) (PORTO ALEGRE)	A1	
1871-5206	ANTI-CANCER AGENTS IN MEDICINAL CHEMISTRY	A2	
1098-6596	ANTIMICROBIAL AGENTS AND CHEMOTHERAPY (ONLINE)	A1	
0066-4804	ANTIMICROBIAL AGENTS AND CHEMOTHERAPY (PRINT)	A1	
2076-3921	ANTIOXIDANTS	B1	
2179-7331	ANTROPOLÍTICA: REVISTA CONTEMPORÂNEA DE ANTROPOLOGIA	A2	
1983-7364	ANUÁRIO BRASILEIRO DE SEGURANÇA PÚBLICA	B2	
1982-3908	ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (ONLINE)	B2	
0101-9759	ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (UFRJ. IMPRESSO)	B2	
2339-4889	ANUARIO EN ESTUDIOS POLÍTICOS LATINO-AMERINOS	B4	
2525-3328	ANUÁRIO LUKÁCS	A4	
2525-4669	ANUÁRIO PESQUISA E EXTENSÃO UNOESC JOAÇABA	B4	
2522-7971	APN SCIENCE BULLETIN	B2	
0169-1317	APPLIED CLAY SCIENCE (PRINT)	A1	
2210-8327	APPLIED COMPUTING AND INFORMATICS	A1	
1466-4291	APPLIED ECONOMIC LETTERS	A2	
1350-4851	APPLIED ECONOMICS LETTERS (PRINT)	A2	
1466-4283	APPLIED ECONOMICS (ONLINE)	A1	
0003-6846	APPLIED ECONOMICS (PRINT)	A1	
0306-2619	APPLIED ENERGY	A1	
2374-2429	APPLIED FINANCE AND ACCOUNTING	B1	
1350-486X	APPLIED MATHEMATICAL FINANCE	A3	
0307-904X	APPLIED MATHEMATICAL MODELLING	A1	
1314-7552	APPLIED MATHEMATICAL SCIENCES (ONLINE)	C	
1312-885X	APPLIED MATHEMATICAL SCIENCES (RUSE)	C	
0096-3003	APPLIED MATHEMATICS AND COMPUTATION	A2	
0175-7598	APPLIED MICROBIOLOGY AND BIOTECHNOLOGY	A2	
1875-8533	APPLIED ONTOLOGY (ONLINE)	A1	
0969-8043	APPLIED RADIATION AND ISOTOPES	A2	
2076-3417	APPLIED SCIENCES	A3	
1568-4946	APPLIED SOFT COMPUTING (PRINT)	A1	
1524-1904	APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY (PRINT)	A4	
2448-3524	APPLIED TOURISM	B3	
2190-5495	APPLIED WATER SCIENCE	A3	
2596-3317	APS EM REVISTA	B4	
0213-3334	APUNTES DE PSICOLOGÍA	A3	
0252-1865	APUNTES, REVISTA DE CIENCIAS SOCIALES	B1	
0044-8486	AQUACULTURE (AMSTERDAM)	A1	
0967-6120	AQUACULTURE INTERNATIONAL	A2	
2352-5134	AQUACULTURE REPORTS	A2	
1355-557X	AQUACULTURE RESEARCH	A1	
0166-445X	AQUATIC TOXICOLOGY	A1	
1657-5997	AQUICHAN	A4	
1878-5352	ARABIAN JOURNAL OF CHEMISTRY	A1	
0365-6233	ARCHIV DER PHARMAZIE (WEINHEIM)	A3	
2054-7404	ARCHIVES OF BUSINESS RESEARCH	A3	
0003-9888	ARCHIVES OF DISEASE IN CHILDHOOD	A1	
2359-4292	ARCHIVES OF ENDOCRINOLOGY AND METABOLISM	B2	
1933-8244	ARCHIVES OF ENVIRONMENTAL & OCCUPATIONAL HEALTH	B1	
2578-6539	ARCHIVES OF FAMILY MEDICINE AND GENERAL PRACTICE	B4	
1520-6327	ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY	A3	
2049-3258	ARCHIVES OF PUBLIC HEALTH	A3	
1068-2341	ARCHIVOS ANALÍTICOS DE POLÍTICAS EDUCATIVAS / EDUCATION POLICY ANALYSIS ARCHIVES	A1	
1994-6961	ARCHNET-IJAR: INTERNATIONAL JOURNAL OF ARCHITECTURAL RESEARCH	A2	
1578-0007	AR@CNE (BARCELONA)	B2	
2379-2957	AREA DEVELOPMENT AND POLICY	A3	
