TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK
"Estado e políticas públicas, movimentos sociais e resistência",2003,,Português,Revista da Faculdade de Educação. Universidade do Estado de Mato Grosso,C ,1679-4273,['Heloisa Salles Gentil'],['1'],['1']
"Currículo, cultura e formação de identidades no Projeto Parceladas",2005,,Português,Revista da Faculdade de Educação. Universidade do Estado de Mato Grosso,C ,1679-4273,['Heloisa Salles Gentil'],['1'],['1']
"Identiddes de professores e redes de significação, configurações que constituem o 'nós, professores'",2006,,Português,PSICOLOGIA DA EDUCAÇÃO (IMPRESSO),XX,1414-6975,['Heloisa Salles Gentil'],['1'],['1']
O avesso e o direito: sobre sentidos e autoria em ambientes virtuais,2009,,Português,Cadernos de Educação (UFPel),B4,0104-1371,['Heloisa Salles Gentil'],['1'],['1']
"Democratização da Educação, Universidade e Movimentos Sociais.",2010,,Português,Revista de Educação Publica (UFMT),C ,0104-5962,['Heloisa Salles Gentil'],['1'],['1']
Continuidades e descontinuidades nas políticas de formação de professores e suas implicações na prática pedagógica docente,2011,,Português,Revista de Educação Publica (UFMT),C ,0104-5962,"['Heloisa Salles Gentil', 'Marilda Oliveira Costa']","['1', '2']",['1']
Licenciatura em Computação e Profissionalidade Docente.,2013,,Português,EDUCAÇÃO: TEORIA E PRÁTICA,B2,1981-8106,"['Heloisa Salles Gentil', 'André Luiz Borges Milhomem']","['1', '2']",['1']
Implicações da parceria público-privada para a gestão e autonomia da educação no município de Cáceres-MT,2012,,Português,Revista da Faculdade de Educação (Universidade do Estado de Mato Grosso),C ,1679-4273,"['Marilda de Oliveira Costa', 'Heloisa Salles Gentil', 'Fernanda Sortica de Farias Lima', 'Karine Alves Costa']","['1', '2', '3', '4']",['2']
COMUNIDADES DE APRENDIZAGEM: REFLETINDO SOBRE SUA CONTRIBUIÇÃO PARA A FORMAÇÃO CONTINUADA DO PROFESSOR INICIANTE INSERIDO NAS ESCOLA.,2012,,Português,"Revista Educação, Cultura e Sociedade",B4,2237-1648,"['Cristiana de Campos Silva', 'Rinalda Bezerra Carlos', 'Heloisa Salles Gentil']","['1', '2', '3']",['3']
Currículo prescrito e currículo modelado: uma discussão sobre teoria e prática?,2014,,Português,REVISTA EDUCAÇÃO EM QUESTÃO (ONLINE),C ,1981-1802,"['Heloisa Salles Gentil', 'Claudete Inês Sroczynski']","['1', '2']",['1']
A configuração da educação do campo em dois assentamentos rurais em Mato Grosso,2015,,Português,EDUCAÇÃO (UFSM),XX,0101-9031,"['Heloisa Salles Gentil', 'Ilma Ferreira Machado']","['1', '2']",['1']
Estudantes de classes populares no curso de Pedagogia da UNEMAT:acesso à Educação Superior,2016,,Português,REVISTA FAED - UNEMAT,C ,2178-7476,"['Graciele Marques dos Santos', 'Heloisa Salles Gentil']","['1', '2']",['2']
Democratização da Educação Superior em dissertações e teses de professores da Universidade do Estado de Mato Grosso,2016,,Português,EDUCAÇÃO EM DEBATE (UFC),XX,0102-1117,"['Heloisa Salles Gentil', 'Nadir Gonçalves dos Santos']","['1', '2']",['1']
