TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK
O lugar da corporeidade no discurso atual sobre o crime e a loucura: um ensaio,2000,,Português,Revista de Estudos Acadêmicos,XX,-,['Olimpia Maluf Souza'],['1'],['1']
A diminuição de responsabilidade é relevante?,2000,,Português,Revista Latinoamericana de Psicopatologia Fundamental (Impresso),B1,1415-4714,['Olimpia Maluf Souza'],['1'],['1']
"Entre a condescendência e o confronto, a materialização de um ideário de língua nacional",2009,,Português,Revista de Letras (Taguatinga),B5,1982-842X,['Olimpia Maluf Souza'],['1'],['1']
Os modos de subjetivação dos moradores de rua na cidade de Cáceres-MT.,2009,,Português,Polifonia (UFMT),B1,0104-687X,['Olimpia Maluf Souza'],['1'],['1']
A instalação dos sentidos de imputação a partir do deslocamento da forma verbal,2010,,Português,Língua e Instrumentos Lingüísticos,B1,1519-4906,['Olimpia Maluf Souza'],['1'],['1']
A produção dos sentidos da aparência feminina nos cadastros policiais,2012,,Português,Entremeios,B2,2179-3514,"['Fernanda Surubi Fernandes', 'Olimpia Maluf Souza']","['1', '2']",['2']
Campanhas públicas de acessibilidade: a instalação de sentidos na/para a imagem do sujeito deficiente,2013,,Português,Revista CITINO,B5,2238-2461,"['Olimpia Maluf Souza', 'Patrícia Aparecida da Silva']","['1', '2']",['1']
O corpo na relação trabalho x prazer,2013,,Português,Rua (UNICAMP),B1,1413-2109,"['Olimpia Maluf Souza', 'Fernanda Surubi Fernandes']","['1', '2']",['1']
"Corpo, trabalho e prazer: as práticas de prostituição em cadastros policiais",2013,,Português,Gragoatá (UFF),XX,1413-9073,"['Fernanda Surubi Fernandes', 'Olimpia Maluf Souza']","['1', '2']",['2']
De puta às profissionais do sexo: uma memória da língua,2013,,Português,EntreLetras (Online),B2,2179-3948,"['Fernanda Surubi Fernandes', 'Olimpia Maluf Souza']","['1', '2']",['2']
Efeitos e memória na materialidade linguística da narrativa do chorado,2013,,Português,Ave Palavra (UNEMAT),B3,1807-6130,"['Weverton Ortiz Fernandes', 'Olimpia Maluf Souza']","['1', '2']",['2']
A dupla identificação das mulheres nos espaços de enunciação,2013,,Português,Estudos da Língua(gem) (Online),B1,1982-0534,"['Fernanda Surubi Fernandes', 'Olimpia Maluf Souza']","['1', '2']",['2']
