TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK
O impacto das transformações no mundo do trabalho na subjetividade da classe trabalhadora,2004,,Português,Caderno Fênix Ciência (UNEMAT),XX,1807-7633,['Ilma Ferreira Machado'],['1'],['1']
Desafios postos para a avaliação de ensino,2005,,Português,Revista da Faculdade de Educação. Universidade do Estado de Mato Grosso,C ,1679-4273,['Ilma Ferreira Machado'],['1'],['1']
Um projeto político-pedagógico para a escola do campo,2009,,Português,Cadernos de Pesquisa: Pensamento Educacional (Curitiba. Impresso),XX,1980-9700,['Ilma Ferreira Machado'],['1'],['1']
Critica e autocrítica: avaliação participativa em escolas do campo,2010,,Português,Educação (Rio Claro. Online),B2,1981-8106,['Ilma Ferreira Machado'],['1'],['1']
Educação do campo e diversidade,2010,10.5007,Português,Perspectiva (UFSC),XX,0102-5473,"['Ilma Ferreira Machado', 'Beleni Salete grando', 'CARVALHO, Diana Carvalho de']","['1', '2', '3']",['1']
O TRABALHO COLETIVO COMO PRINCÍPIO EDUCATIVO NO CONTEXTO DA SOCIOECONOMIA SOLIDARIA-O CASO DA UNIVENS,2011,,Português,Trabalho &amp; Educação (UFMG),B5,1516-9537,"['Rosângela Pereira de Oliveira', 'Ilma Ferreira Machado']","['1', '2']",['2']
Políticas públicas para a educação do campo: da necessidade aos limites,2013,,Português,Revista Ibero-Americana de Estudos em Educação,B3,1982-5587,"['Ilma Ferreira Machado', 'Celia Regina Vendramini']","['1', '2']",['1']
O PROJETO POLÍTICO-PEDAGÓGICO E CURRÍCULO DA EFAU: EDUCAÇÃO PARA QUE? E PARA QUEM?,2014,,Português,Revista Ibero-Americana de Estudos em Educação,B3,1982-5587,"['Ana Paula do Amaral', 'Ilma Ferreira Machado']","['1', '2']",['2']
FORMAÇAO DE EDUCADORES PARA ESCOLAS DO CAMPO,2014,,Português,"Revista Educação, Cultura e Sociedade",B4,2237-1648,"['Rosângela Pereira de Oliveira', 'Ilma Ferreira Machado']","['1', '2']",['2']
A configuração da educação do campo em dois assentamentos rurais em Mato Grosso,2015,10.5902/1984644414455,Português,Educação (Santa Maria. Online),B2,1984-6444,"['GENTIL, HELOISA SALLES', 'Ilma Ferreira Machado']","['1', '2']",['2']
AVALIAÇÃO DE APRENDIZAGEM NOS CONTORNOS DO CURRÍCULO INTEGRADO NO ENSINO MÉDIO,2016,10.1590/CC0101-32622016160336,Inglês,Cadernos CEDES (UNICAMP) Impresso,XX,1678-7110,"['Ilma Ferreira Machado', 'SILVA, ROSE MÁRCIA DA', 'SOUZA, MARIA DE LOURDES JORGE DE']","['1', '2', '3']",['1']
"PROCESSO DE PARTICIPAÇÃO EM ESCOLAS RURAIS DO ESTADO DE MATO GROSSO, NAS DÉCADAS DE 1980 E 1990",2016,,Português,Revista Científica Semana Acadêmica,XX,2236-6717,"['Luana dos Santos Nogueira Garcia', 'Ilma Ferreira Machado']","['1', '2']",['2']
EDUCAÇÃO DO CAMPO: DESAFIOS DA EXPANSÃO DA PEDAGOGIA DA ALTERNÂNCIA E DA EDUCAÇÃO POPULAR NO ÂMBITO DO ESTADO,2016,,Português,Retratos de Assentamentos,XX,1516-8182,"['Rosângela Pereira de Oliveira', 'Ilma Ferreira Machado']","['1', '2']",['2']
"MATERIAIS DIDÁTICOS UTILIZADOS PELAS PROFESSORAS DAS ESCOLAS DO CAMPO NAS DÉCADAS DE 1980 E 1990, NO ESTADO DE MATO GROSSO",2017,,Português,REVISTA DE INICIAÇÃO CIENTÍFICA DA ULBRA,XX,2317-4323,"['Luana dos Santos Nogueira Garcia', 'Ilma Ferreira Machado']","['1', '2']",['2']
"RECURSOS DIDÁTICOS UTILIZADOS POR PROFESSORES DE ESCOLAS RURAIS DE UM MUNICÍPIO MATO-GROSSENSE, NAS DÉCADAS DE 1980 E 1990",2017,10.25053/edufor.v2i6.2064,Português,Educação &amp; Formação,XX,2448-3583,"['GARCIA, LUANA SANTOS NOGUEIRA', 'Ilma Ferreira Machado']","['1', '2']",['2']
"RETRATO DO ENSINO RURAL NO MUNICÍPIO DE CÁCERES, NAS DÉCADAS DE 1980 E 1990",2017,,Português,REVISTA PEDAGOGIA - UFMT,XX,2359-6554,"['Luana dos Santos Nogueira Garcia', 'Ilma Ferreira Machado']","['1', '2']",['2']
Educação Popular e a UNIVENS - A Justa Trama na Pedagogia do Trabalho Coletivo,2017,,Português,REVISTA DA FACULDADE DE EDUCAÇÃO (UNIVERSIDADE DO ESTADO DE MATO GROSSO),C ,1679-4273,"['Rosângela Pereira de Oliveira', 'Ilma Ferreira Machado']","['1', '2']",['2']
EDUCAÇÃO DO CAMPO NA PERSPECTIVA OMNILATERAL E POLITÉCNICA: UMA PROPOSTA EM CONSTRUÇÃO,2018,10.29148/labor.v1i19.20011,Português,REVISTA LABOR,XX,1983-5000,"['ANDRIONI, IVONEI', 'Ilma Ferreira Machado', 'SILVA, ROSE MÁRCIA DA']","['1', '2', '3']",['2']
?CONTRARREFORMAS? EDUCACIONAIS E O CURRÍCULO INTEGRADO COMO RESISTÊNCIA,2018,,Português,TRABALHO &amp; EDUCAÇÃO (UFMG),B5,1516-9537,"['Ilma Ferreira Machado', 'Ivonei Andrioni', 'Rose Marcia da Silva']","['1', '2', '3']",['1']
ENSINO MÉDIO INTEGRADO: acirrar contradições e abrir brechas,2018,10.29148/labor.v2i18.33506,Português,REVISTA LABOR,XX,1983-5000,"['SILVA, ROSE MÁRCIA DA', 'ANDRIONI, IVONEI', 'Ilma Ferreira Machado']","['1', '2', '3']",['3']
"Educação do Campo, Ensino Médio e juventude camponesa: conceitos em construção",2018,10.20873/uft.2525-4863.2018v3n2p578,Português,Revista Brasileira de Educação do Campo,B5,2525-4863,"['DE LOURDES JORGE DE SOUSA, MARIA', 'Ilma Ferreira Machado']","['1', '2']",['2']
A criança como sujeito social na escola do MST,2007,,Português,Revista de Educação Publica (UFMT),C ,0104-5962,['Ilma Ferreira Machado'],['1'],['1']
