PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Estudo sobre a fidelidade a palavra empenhada: replicação da metodologia piagetiana acerca de seus estudos sobre a formação do juízo moral,2003,2006,PESQUISA,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck', 'Patricia Almeida Ourives Silva', 'Lucelia Augusto Machado', 'Avenina Rodrigues Silva', 'Maria Claudia Maquea Rocha', 'Elizete Pereira Couto', 'Jucelene Ribeiro da Veiga']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Estudo sobre a fidelidade a palavra empenhada: um estudo sobre a formação do juízo moral baseado em Piaget e Kohlberg - em atendimento ao edital 01/2005 com previsão de inicio para 03/2006,2005,2008,PESQUISA,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck', 'Patricia Almeida Ourives Silva', 'Lucelia Augusto Machado', 'Avenina Rodrigues Silva', 'Alexandre Fornanciari Wolski', 'Edna Nonato Santana']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Burnout em professores da Rede Pública de Cáceres: um diagnóstico do mal - estar docente.,2007,2009,PESQUISA,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck']","['SIM', 'NAO']"
Bullyng: a violência no cotidiano dos estudantes do ensino médio de uma cidade do interior do Estado do Mato Grosso,2008,2010,PESQUISA,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck']","['SIM', 'NAO']"
Comunidade Feliz e os processos sociais de construção identitária,2009,2011,EXTENSAO,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck', 'SANTINO SEABRA JUNIOR', 'ROBERVAL EMERSON PIZANO']","['SIM', 'NAO', 'NAO', 'NAO']"
Saúde Preventiva e Educação em Saúde: uma demanda social,2010,2012,EXTENSAO,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck', 'Renata Lourenço', 'Maria da Penha Fornanciari Antunes', 'JOSE FERREIRA DA COSTA', 'PAULA BATAGLINI']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
ARTE EM CENA: OFICINAS DE PRODUÇÃO ARTISTICA E DE PEÇA DE TEATRO EM CÁCERES MT,2011,2013,EXTENSAO,['Josiane Magalhães'],['SIM']
Juventude e trabalho em cáceres; futuro incerto e espaços imaginários,2011,2013,PESQUISA,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck', 'Maria do Horto Salles Tiellet', 'Maria da Penha Fornanciari Antunes', 'JOSE FERREIRA DA COSTA']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO']"
ARTE EM CENA,2009,ATUAL,PESQUISA,['Josiane Magalhães'],['SIM']
A OBRA DE ARTUR SCHOPENHAUER E SUA ATUALIDADE PARA A COMPREENSÃO DO SECULO XXI,2014,2016,PESQUISA,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck', 'JOSE FERREIRA DA COSTA']","['SIM', 'NAO', 'NAO']"
ARTE EM CENA: OFICINAS DE PRODUÇÃO ARTISTICA E DE PEÇA DE TEATRO EM CÁCERES MT,2014,ATUAL,EXTENSAO,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck', 'EDineuza maria benevides', 'talita gomes de oliveria']","['SIM', 'NAO', 'NAO', 'NAO']"
PARADA CARDIORRESPIRATÓRIA: CONSTRUINDO SABERES PARA SALVAR VIDAS NA COMUNIDADE,2018,ATUAL,EXTENSAO,"['Josiane Magalhães', 'Reginaldo Pereira de Souza', 'WANESKA PINTO MOTA DE SOUZA']","['NAO', 'SIM', 'NAO']"
Burnout no ensino superior: um estudo com professores de uma universidade pública no estado de Mato Grosso,2018,ATUAL,PESQUISA,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck', 'Renata Lourenço']","['NAO', 'SIM', 'NAO']"
Palestras de fim de tarde,2017,ATUAL,EXTENSAO,"['Josiane Magalhães', 'rosane maria andrade vasconcelos', 'Kelis Estatiane de Campos']","['NAO', 'SIM', 'NAO']"
Atribuições causais sobre sucesso escolar nas percepções de professores da rede pública e privada do ensino fundamental em Cáceres/MT - em atendimento ao edital 01/2005 com previsão de inicio para 03/2006,2005,2009,PESQUISA,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck', 'Alice Mariana Neves Pereira', 'Guilherme Angerames Rodrigues Vargas', 'ROSIVANE DE SOUZA SONEMBERG', 'Luciene Cândia']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
