PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
A Instalação do Discurso da Psiquiatria Forense em Mato Grosso,2004,2006,PESQUISA,['Olimpia Maluf Souza'],['SIM']
Vozes da Cidade,2007,2011,PESQUISA,"['Olimpia Maluf Souza', 'Ana Maria Di Renzo', 'Leila salomão Jacob Bisinoto', 'Vera Regina Martins e Silva', 'Neuza B. da Silva Zattar', 'Maria Luceli Faria Batistote', 'Ana Luiza Artiaga Rodrigues da Motta', 'Gleide Amaral dos Santos']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Topografia discursiva: uma história das ideias em Mato Grosso,2011,2015,PESQUISA,"['Olimpia Maluf Souza', 'Leila salomão Jacob Bisinoto', 'Eliana de Almeida', 'Silvia Regina Nunes', 'Tânia Pitombo-Oliveira', 'Valdir Silva', 'Leonice Rodrigues Pereira', 'Marinei Almeida', 'Walmira Austríaco Sodré', 'Maria Inês Parolin', 'Águeda Aparecida Borges']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Grupo de estudos marxianos (GEMARX),2012,2014,EXTENSAO,"['Olimpia Maluf Souza', 'Silvia Regina Nunes', 'Fernanda Surubi Fernandes', 'Allyne Oliveira de Lima Garcia', 'Maristela Cury Sarian', 'Evelin Mara Cáceres Dan', 'Vivian Lara Cáceres Dan', 'Juliano Moreno Kersul De Carvalho']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
"Processos de autonomia, de produção e de identificação intelectual: a Análise de Discurso no Centro-Oeste",2014,ATUAL,PESQUISA,"['Olimpia Maluf Souza', 'Maria Luceli Faria Batistote', 'Fernanda Surubi Fernandes', 'Águeda Aparecida Borges', 'Marlon Leal Rodrigues', 'Aline Saddi Chaves', 'Beatriz Maria Eckert Hoff', 'Elizete Beatriz Azambuja']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Discurso, língua, sujeito: traços de memória e identificações",2014,ATUAL,PESQUISA,"['Olimpia Maluf Souza', 'Eliana de Almeida', 'Silvia Regina Nunes', 'Wellington Pedrosa Quintino']","['NAO', 'SIM', 'NAO', 'NAO']"
"Mulheres de/em Mato Grosso: processos de identificação, mídia e sexualidade",2016,ATUAL,PESQUISA,"['Olimpia Maluf Souza', 'Silvia Regina Nunes', 'Águeda Aparecida Borges', 'Eliana de Almeida', 'Heitor Kirsch', 'Giulianna Z. Miguel', 'Vivian L. Cáceres Dan', 'Luciano Pereira da Silva', 'Felipe de Souza Ferraz', 'Cleiton de Souza Sales', 'Selma A. Cavalcanti Kirsch', 'Julyene Oliveira Teixeira', 'Diogo Carvalho do Nascimento']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Análise de Discurso: aspectos teóricos e práticos,2013,2015,EXTENSAO,"['Olimpia Maluf Souza', 'Bethania Sampaio Corrêa Mariani', 'Sandra Raquel de Almeida Cabral Hayashida', 'Adelita BALBINOT', 'Cibeli Simões Santos', 'Fernanda Surubi Fernandes', 'Divino Alex Rocha de Deus', 'Rogério Martins', 'Maristela Cury Sarian', 'Eliana de Almeida', 'Suzy Maria Lagazzi', 'Fernando Jesus Silva', 'Ana Cláudia De Moraes Salles', 'Dayaline De Alencar', 'Elda Cintra Leite', 'Zirlei Carvalho Ramos', 'Landara Anne Melo Zinhani']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"O discurso nas fronteiras do social: diferentes materialidades significantes - CNPq, coordenado pela Profª Suzy Lagazzi - Unicamp",2010,2012,PESQUISA,"['Olimpia Maluf Souza', 'Suzy Lagazzi']","['NAO', 'SIM']"
Arquivos sobre o sujeito nacional: discursividades na sociedade e na cultura contemporânea,2008,2010,PESQUISA,"['Olimpia Maluf Souza', 'Ana Maria Di Renzo', 'Eliana de Almeida', 'Alexandre Ferraris', 'Frederico Z. Feu de Carvalho', 'Lauro Baldini', 'Lucília de Souza Romão', 'Luiz Carlos Borges', 'Maria Claudia G. Maia', 'Maria Cristina Leandro Ferreira', 'Vanise G. Medeiros', 'Ana Maria Carnevale Lopes', 'Bethania Sampaio Corrêa Mariani']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM']"
