PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
"Indicativos sobre a característica profissional dos docentes da rede de ensino público estadual de primeiro grau no município deCáceres- MT, 1991",1990,1991,PESQUISA,"['Maria do Horto Salles Tiellet', 'Manoel Francisco Vasconcelos Motta']","['SIM', 'NAO']"
A formação do professor de primeiro grau e a Fesmat: um estudo sobre os egressos e alunos que atuam nas escolas estaduais de primeiro grau no município de Cáceres/MT-monografia da Especialização,1992,1993,PESQUISA,['Maria do Horto Salles Tiellet'],['SIM']
"Modernidade e Cidadania, contextos e desafios: uma análise da política educacional do Estado de Mato Grosso do governo Dante de Oliveira/1996 - dissertação de mestrado",1994,1996,OUTRA,['Maria do Horto Salles Tiellet'],['SIM']
Síntese da política educacional de 1987-1991: atos político - administrativos de Carlos Bezerra e Edson Freitas,1997,1999,PESQUISA,"['Maria do Horto Salles Tiellet', 'Manoel Francisco Vasconcelos Motta']","['SIM', 'NAO']"
Percepção dos idoso e o envolvimento dos acadêmicos e do Campus Universitário de Cáceres no projeto de extensão,2005,2006,PESQUISA,"['Maria do Horto Salles Tiellet', 'Fabiana da Silva Sinês', 'Gilmara Oliveira Gomes']","['SIM', 'NAO', 'NAO']"
"Conflitos e violências em escolas públicas estaduais numa região de fronteira, Cáceres/MT: a percepção dos professores",2008,2010,PESQUISA,"['Maria do Horto Salles Tiellet', 'Maria da Penha Fornanciari Antunes', 'José Ferreira da Costa', 'Regina Ribeiro de Mello', 'Guilherme Angerames Rodrigues Vargas', 'Danielle Souza Fernandes', 'Danilo Persch', 'Diana Garcia de Deus', 'Egydio Jorge Ribeiro Vila', 'Ramon Ramsés Yucatan Oliveira', 'Tamilis Silva Borim']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Brincadeiras que humilham: manifestações de incivilidade,2005,2007,PESQUISA,"['Maria do Horto Salles Tiellet', 'Elisa Maria Jorge da Cunha', 'Leonardo Cappi Manzini', 'José Ferreira da Costa', 'Laurenir Ramos Cebalhos', 'Renan Defácio Colossara', 'Rubens Ventura', 'Vandirlene Viana Balduino', 'Regina Ribeiro de Mello', 'Vera de Campos Silva', 'Danielle Souza Fernandes', 'Amilton Carlos Rodrigues Zarzatti', 'Mauriety Rodrigues Oliveira', 'Renan Defácio Calassara', 'Diana Garcia de Deus', 'Reinaldo de Souza Marchesi', 'Wânia Nardes Rosa', 'Haidêe Luiza do Nascimento', 'Erica da Silva Rocha', 'Cleomir Guth']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Juventude e trabalho em Cáceres: futuro incerto e espaços imaginários,2010,2012,PESQUISA,"['Maria do Horto Salles Tiellet', 'Maria da Penha Fornanciari Antunes', 'Josiane Magalhães', 'José Ferreira da Costa', 'Marcelo Beck']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Estudo comparativo sobre as ações dos gestores de estabelecimentos de ensino estaduais e municipais de Cáceres/MT nas situações de conflito e de violência no ambiente escolar,2012,2014,PESQUISA,"['Maria do Horto Salles Tiellet', 'Maria da Penha Fornanciari Antunes', 'José Ferreira da Costa', 'Guilherme Angerames Rodrigues Vargas', 'Aparecido de Assis', 'José Carlos Henrique dos Reis', 'José João Fornanciari Neto', 'Rauni Vilasbôas Valentim', 'Juliano Claudio Alves', 'Luciana da Silva Pereira', 'Frádia Cícera de Castro Tsukamoto']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Revista da Faculdade de Educação,2013,ATUAL,EXTENSAO,"['Maria do Horto Salles Tiellet', 'Irton Milanesi', 'Maria Izete de Oliveira', 'Ilma Ferreira Machado', 'Heloisa Salles Gentil', 'Elizeth Gonzaga dos Santos Lima', 'Marilda de Oliveira Costa', 'André Luiz Borges Milhomem']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
