TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK
Fundamentos para a História Oral e Cultural na Perspectiva da História da Educação,2002,,Português,Anais do Seminário de Educação 2002 da UFMT em Cuiabá-MT,XX,-,['Dimas Santana Souza Neves'],['1'],['1']
Práticas Pedagógicas na Primeira Metade do Século XX: Uma Versão com a História Oral,2002,,Português,Anais do II Congresso Brasileiro de História da Educação,XX,-,['Dimas Santana Souza Neves'],['1'],['1']
Inspeção Escolar em Mato Grosso: Gênese de um Dispositivo Disciplinar,2003,,Português,Anais do Seminário de Educação 2003 da UFMT em Cuiabá-MT,XX,-,['Dimas Santana Souza Neves'],['1'],['1']
Controle e Vigilância na Construção da Cultura Escolar em Mato Grosso,2003,,Português,Caderno de Resumos do XXV ISCHE,XX,-,['Dimas Santana Souza Neves'],['1'],['1']
Control and Survellance in the construction of school culture in Mato Grosso - the legacy of the empire,2003,,Inglês,Caderno de Resumos do XXV ISCHE - International Stading Conference for the History of Education,XX,-,['Dimas Santana Souza Neves'],['1'],['1']
Inspeção Escolar no Ensino Primário na Primeira República em Mato Grosso - Desbloquio do poder e divisão social do trabalho na organização Escolar - 1910-1916,2004,,Português,anais do Histedebr,XX,-,['Dimas Santana Souza Neves'],['1'],['1']
Práticas de Controle do Saber e das Punições: Disputas de Poder entre Professores e Inspetores Escolares - 1910-1922,2004,,Português,Anais do III CBHE,XX,-,['Dimas Santana Souza Neves'],['1'],['1']
Organização da Escola pela Inspeção Escolar em Mato Grosso - Representação e Prática 1889-1899,2004,,Português,Anais do EPECO,XX,-,['Dimas Santana Souza Neves'],['1'],['1']
Poder e cultura escolar na primeira republica em Mato Grosso,2007,,Português,Revista Brasileira de História da Educação,XX,1519-5902,['Dimas Santana Souza Neves'],['1'],['1']
Ensino obrigatório: &amp;quot;prudente é esperar-se do tempo o preciso remédio&amp;quot;,2012,10.1590/S2236-34592012000200007,Inglês,História da Educação,B1,2236-3459,"['ALMEIDA, CÍNTIA BORGES DE', 'Dimas Santana Souza Neves', 'GONDRA, JOSÉ GONÇALVES']","['1', '2', '3']",['2']
Maquinarias de Poder: A Instrução Pública Revisitada entre o Período Provincial e a Construção Republicana em Mato Grosso,2003,,Português,Anais do Seminário de Educação 2003 da UFMT em Cuiabá-MT,XX,-,['Dimas Santana Souza Neves'],['1'],['1']
