PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
VAZIO,2003,2004,EXTENSAO,['Gilmar Laforga'],['SIM']
VAZIO,2004,2005,EXTENSAO,['Gilmar Laforga'],['SIM']
VAZIO,2001,2005,EXTENSAO,['Gilmar Laforga'],['SIM']
VAZIO,2003,2004,EXTENSAO,"['Gilmar Laforga', 'Alan Peres Ferraz de Mello', 'Agdamar A Suffedini']","['SIM', 'NAO', 'NAO']"
VAZIO,2003,2005,EXTENSAO,['Gilmar Laforga'],['SIM']
Organização Familiar Rural da Gleba Triângulo,2005,2007,PESQUISA,"['Gilmar Laforga', 'Wilson Luconi Jr', 'Sandro Benedito Sguarezi', 'Jorge Luiz Schirmer de Mattos']","['NAO', 'NAO', 'SIM', 'NAO']"
Desenvolvimento de Métodos e Técnicas de Incubação de Empreendimentos Econômicos Solidários em Mato Grosso,2005,2008,PESQUISA,"['Gilmar Laforga', 'Wilson Luconi Jr', 'Sandro Benedito Sguarezi', 'Laudemir Luiz Zart']","['SIM', 'NAO', 'NAO', 'NAO']"
"Saber Camponês: estudo sobre a construção do conhecimento no Assentamento Antônio Conselheiro, Tangará da Serra-MT",2007,2008,PESQUISA,"['Gilmar Laforga', 'Ana Paula Truzzi Mauso', 'Raimundo Nonato Cunha de França', 'Marinês Rosa']","['SIM', 'NAO', 'NAO', 'NAO']"
Políticas de desenvolvimento da agricultura familiar no Assentamento Banco da Terra em Nova Xavantina,2009,2011,PESQUISA,"['Gilmar Laforga', 'Luciana Pinheiro Viegas', 'Vanessa Cristina de Almeida Theodoro']","['SIM', 'NAO', 'NAO']"
O turismo na pluriatividade do espaço rural do Assentamento Banco da Terra como alternativa de renda para os agricultores familiares.,2009,2010,PESQUISA,"['Gilmar Laforga', 'Luciana Pinheiro Viegas']","['NAO', 'SIM']"
PROJETO PESQUISA - Uso de Carvão Vegetal Pirogênico (Biochar) como Condicionante de Solo em Fruticultura e Reflorestamento de Espécies Nativas e Exóticas na Agricultura Familiar,2009,2012,PESQUISA,"['Gilmar Laforga', 'Beatriz Schwantes Marimon', 'Ben Hur Marimon Júnior', 'Vanessa Cristina de Almeida Theodoro', 'Eddie Lenza de Oliveira', 'Maria José de Lima']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
PELD,2010,2013,PESQUISA,"['Gilmar Laforga', 'Helena Soares Ramos Cabette', 'Beatriz Schwantes Marimon', 'Ben Hur Marimon Júnior', 'Amintas Nazareth Rossete', 'Eddie Lenza de Oliveira', 'Maria Eloiza Pereira Leite Ramos', 'Ricardo Keichi Umetsu']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
