PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Brincadeiras que humilham: manifestações de incivilidade,2005,2007,PESQUISA,"['Maria da Penha Fornanciari Antunes', 'Marias do Horto Salles Tiellet', 'José Ferreira da Costa', 'Elisa Maria Jorge da Cunha', 'Graciela Constantino', 'Fábio da Penha Coelho', 'Manoel Francisco Vasconcelos Motta']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Educação da Juventude em Mato Grosso: impasses e perspectivas político-pedagógicas,2004,2006,PESQUISA,"['Maria da Penha Fornanciari Antunes', 'Maria Aparecida Morgado']","['NAO', 'SIM']"
"Burnout em professores da rede pública de Cáceres: um diagnóstico do mal-estar docente Cordenação prof. Dr. Marcelo Beck Equipe Prof. Ms. Maria do Horto S. Tiellet, Dra. Josiane Magalhães, Ms. Maria da Penha Fornanciari Antunes",2008,2010,PESQUISA,"['Maria da Penha Fornanciari Antunes', 'Josiane Magalhães', 'Marcelo Luis Grassi Beck']","['NAO', 'SIM', 'NAO']"
"Estudo comparativo sobre as ações dos gestores de estabelecimentos de ensino estaduais e municipais de Cáceres/MT, nas situações de conflito e de violência no ambiente escolar",2012,2014,PESQUISA,"['Maria da Penha Fornanciari Antunes', 'José Ferreira da Costa', 'Maria do Horto Salles Tiellet', 'Aparecido de Assis']","['NAO', 'NAO', 'SIM', 'NAO']"
Curso de Graduação Licenciatura em Pedagogia,2014,ATUAL,OUTRA,"['Maria da Penha Fornanciari Antunes', 'Letícia Ema Cappi Aguiar', 'Elaine Cristina de Melo', 'Thiago Garcia']","['SIM', 'NAO', 'NAO', 'NAO']"
"Um estudo comparativo sobre as ações dos gestores de estabelecimentos de ensino estadiuais e municipais de Cáceres/MT, nas situações de conflito e de violencia no ambiente escolar",2012,2014,PESQUISA,"['Maria da Penha Fornanciari Antunes', 'José Ferreira da Costa', 'Maria do Horto Salles Tiellet', 'Guilherme Angerames Rodrigues Vargas', 'Aparecido de Assis']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
Adolescentes em conflito com a lei e suas trajetórias educacionais,2012,2014,PESQUISA,"['Maria da Penha Fornanciari Antunes', 'José Ferreira da Costa', 'Maria do Horto Salles Tiellet']","['NAO', 'NAO', 'SIM']"
Adolescentes em conflito com a lei e suas trajetórias educacionais,2012,2014,PESQUISA,"['Maria da Penha Fornanciari Antunes', 'José Ferreira da Costa', 'Maria do Horto Salles Tiellet']","['NAO', 'NAO', 'SIM']"
ADOLESCENTES EM CONFLITO COM A LEI E SUAS TRAJETÓRIS EDUCACIONAIS,2014,ATUAL,PESQUISA,"['Maria da Penha Fornanciari Antunes', 'Fábio da Penha Coelho', 'Maria do Horto Salles Tiellet', 'Aparecido de Assis', 'JULIANO CALUDIO ALVES']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
"Conflitos e Violencia em Escolas Públicas Estaduais numa região de fronteira, Cáceres-MT: a percepção dos professores",2008,2010,OUTRA,"['Maria da Penha Fornanciari Antunes', 'Marias do Horto Salles Tiellet', 'José Ferreira da Costa', 'Danilo Persch']","['NAO', 'SIM', 'NAO', 'NAO']"
Juventude e Trabalho em Cáceres: futuro incerto e espaços imaginarios,2010,2012,PESQUISA,"['Maria da Penha Fornanciari Antunes', 'Josiane Magalhães', 'Marcelo Luis Grassi Beck', 'José Ferreira da Costa', 'Maria do Horto Salles Tiellet', 'Guilherme Angerames Rodrigues Vargas']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
